date,Real Lower Band,Real Middle Band,Real Upper Band
2013-01-30,32.7375,35.632,38.5266
2013-01-31,32.7907,35.7105,38.6304
2013-02-01,32.8705,35.828,38.7856
2013-02-04,33.0277,35.9725,38.9173
2013-02-05,33.2042,36.1095,39.0148
2013-02-06,33.5637,36.281,38.9983
2013-02-07,33.9189,36.407,38.8951
2013-02-08,34.2866,36.5195,38.7524
2013-02-11,34.7194,36.6195,38.5196
2013-02-12,35.0733,36.686,38.2987
2013-02-13,35.2611,36.7195,38.1779
2013-02-14,35.4136,36.771,38.1284
2013-02-15,35.4378,36.829,38.2202
2013-02-19,35.3725,36.8725,38.3725
2013-02-20,35.3192,36.982,38.6448
2013-02-21,35.2232,37.031,38.8388
2013-02-22,35.1758,37.081,38.9862
2013-02-25,35.1742,37.0695,38.9648
2013-02-26,35.186,37.0795,38.973
2013-02-27,35.1543,37.0505,38.9467
2013-02-28,35.1536,37.05,38.9464
2013-03-01,35.1894,37.106,39.0226
2013-03-04,35.1796,37.159,39.1384
2013-03-05,35.1857,37.1705,39.1553
2013-03-06,35.1972,37.1975,39.1978
2013-03-07,35.2109,37.215,39.2191
2013-03-08,35.2901,37.261,39.2319
2013-03-11,35.4102,37.332,39.2538
2013-03-12,35.5974,37.398,39.1986
2013-03-13,35.9237,37.4855,39.0473
2013-03-14,36.4142,37.6,38.7858
2013-03-15,36.5481,37.6965,38.8449
2013-03-18,36.5612,37.7255,38.8898
2013-03-19,36.5538,37.734,38.9142
2013-03-20,36.496,37.7565,39.017
2013-03-21,36.5229,37.742,38.9611
2013-03-22,36.4706,37.7675,39.0644
2013-03-25,36.4178,37.865,39.3122
2013-03-26,36.2956,38.021,39.7464
2013-03-27,36.3391,38.192,40.0449
2013-03-28,36.3114,38.385,40.4586
2013-04-01,36.1798,38.5505,40.9212
2013-04-02,36.1298,38.674,41.2182
2013-04-03,36.2141,38.827,41.4399
2013-04-04,36.1952,39.02,41.8448
2013-04-05,36.3102,39.211,42.1118
2013-04-08,36.4613,39.4325,42.4037
2013-04-09,36.5282,39.6765,42.8248
2013-04-10,36.6301,39.999,43.3679
2013-04-11,36.919,40.3005,43.682
2013-04-12,37.2329,40.577,43.9211
2013-04-15,37.5017,40.724,43.9463
2013-04-16,37.8596,40.9385,44.0174
2013-04-17,38.2449,41.1325,44.0201
2013-04-18,38.5287,41.2955,44.0623
2013-04-19,39.0069,41.4905,43.9741
2013-04-22,39.2837,41.752,44.2203
2013-04-23,39.4226,42.043,44.6634
2013-04-24,39.5909,42.2485,44.9061
2013-04-25,39.8438,42.453,45.0622
2013-04-26,39.8274,42.706,45.5846
2013-04-29,39.9301,42.9115,45.8929
2013-04-30,40.0795,43.1785,46.2775
2013-05-01,40.4076,43.4275,46.4474
2013-05-02,40.6387,43.547,46.4553
2013-05-03,40.9586,43.7155,46.4724
2013-05-06,41.2265,43.8565,46.4865
2013-05-07,41.378,43.9745,46.571
2013-05-08,41.3673,43.968,46.5687
2013-05-09,41.4413,44.02,46.5987
2013-05-10,41.54,44.116,46.692
2013-05-13,42.0031,44.271,46.5389
2013-05-14,42.2645,44.416,46.5675
2013-05-15,42.5907,44.6055,46.6203
2013-05-16,42.962,44.8,46.638
2013-05-17,43.2751,45.039,46.8029
2013-05-20,43.3458,45.142,46.9382
2013-05-21,43.3152,45.212,47.1088
2013-05-22,43.3698,45.334,47.2982
2013-05-23,43.4819,45.4515,47.4211
2013-05-24,43.47,45.4315,47.393
2013-05-28,43.4801,45.4395,47.3989
2013-05-29,43.2806,45.331,47.3814
2013-05-30,43.2058,45.281,47.3562
2013-05-31,42.914,45.216,47.518
2013-06-03,42.7183,45.15,47.5817
2013-06-04,42.5914,45.102,47.6126
2013-06-05,42.3418,45.0085,47.6752
2013-06-06,42.3435,45.009,47.6745
2013-06-07,42.3156,44.997,47.6784
2013-06-10,42.2204,44.9425,47.6646
2013-06-11,42.1139,44.895,47.6761
2013-06-12,41.8455,44.766,47.6865
2013-06-13,41.681,44.622,47.563
2013-06-14,41.5645,44.472,47.3795
2013-06-17,41.571,44.264,46.957
2013-06-18,41.5812,44.128,46.6748
2013-06-19,41.6212,43.953,46.2848
2013-06-20,41.3854,43.668,45.9506
2013-06-21,41.5815,43.4695,45.3575
2013-06-24,41.5141,43.292,45.0699
2013-06-25,41.64,43.154,44.668
