date,MACD_Hist,MACD,MACD_Signal
2013-02-20,-0.0199,0.7433,0.7631
2013-02-21,0.0457,0.8202,0.7746
2013-02-22,0.0568,0.8456,0.7888
2013-02-25,-0.0159,0.7689,0.7848
2013-02-26,-0.0856,0.6777,0.7634
2013-02-27,-0.1548,0.5699,0.7247
2013-02-28,-0.1845,0.494,0.6786
2013-03-01,-0.1429,0.4999,0.6428
2013-03-04,-0.0877,0.5332,0.6209
2013-03-05,-0.1008,0.4949,0.5957
2013-03-06,-0.0944,0.4777,0.5721
2013-03-07,-0.1067,0.4388,0.5454
2013-03-08,-0.1233,0.3913,0.5146
2013-03-11,-0.1109,0.376,0.4869
2013-03-12,-0.1336,0.3198,0.4535
2013-03-13,-0.145,0.2722,0.4172
2013-03-14,-0.1235,0.2629,0.3863
2013-03-15,-0.047,0.3275,0.3746
2013-03-18,-0.0218,0.3474,0.3691
2013-03-19,0.0046,0.3749,0.3703
2013-03-20,0.0622,0.448,0.3858
2013-03-21,0.0551,0.4547,0.3996
2013-03-22,0.0748,0.4931,0.4183
2013-03-25,0.1017,0.5455,0.4438
2013-03-26,0.166,0.6513,0.4853
2013-03-27,0.1894,0.722,0.5326
2013-03-28,0.2294,0.8194,0.59
2013-04-01,0.2588,0.9135,0.6547
2013-04-02,0.2316,0.9441,0.7126
2013-04-03,0.1869,0.9462,0.7593
2013-04-04,0.2079,1.0192,0.8113
2013-04-05,0.1843,1.0416,0.8573
2013-04-08,0.1813,1.084,0.9027
2013-04-09,0.2116,1.1671,0.9556
2013-04-10,0.279,1.3043,1.0253
2013-04-11,0.2704,1.3634,1.0929
2013-04-12,0.2339,1.3853,1.1514
2013-04-15,0.083,1.2552,1.1722
2013-04-16,0.0378,1.2194,1.1816
2013-04-17,-0.0167,1.1608,1.1774
2013-04-18,-0.0556,1.108,1.1636
2013-04-19,-0.0832,1.0596,1.1428
2013-04-22,0.009,1.154,1.145
2013-04-23,0.1158,1.2898,1.174
2013-04-24,0.1137,1.316,1.2024
2013-04-25,0.0903,1.3152,1.2249
2013-04-26,0.1619,1.4273,1.2654
