date,ULTOSC
2013-02-12,48.4397
2013-02-13,43.8051
2013-02-14,55.4609
2013-02-15,60.087
2013-02-19,67.518
2013-02-20,67.7271
2013-02-21,69.6733
2013-02-22,69.4578
2013-02-25,61.9523
2013-02-26,56.2375
2013-02-27,52.6541
2013-02-28,50.1549
2013-03-01,53.0679
2013-03-04,56.0119
2013-03-05,51.3647
2013-03-06,58.9035
2013-03-07,56.5044
2013-03-08,55.4303
2013-03-11,53.5894
2013-03-12,42.0175
2013-03-13,35.9118
2013-03-14,43.9172
2013-03-15,52.0643
2013-03-18,53.8946
2013-03-19,57.5463
2013-03-20,60.8189
2013-03-21,62.2698
2013-03-22,67.5936
2013-03-25,66.92
2013-03-26,64.0837
2013-03-27,67.5966
2013-03-28,70.4261
2013-04-01,73.6297
2013-04-02,75.4399
2013-04-03,67.2638
2013-04-04,69.2724
2013-04-05,66.8696
2013-04-08,68.8087
2013-04-09,61.3858
2013-04-10,61.1215
2013-04-11,60.6159
2013-04-12,64.2008
2013-04-15,51.6264
2013-04-16,57.2495
2013-04-17,57.6468
2013-04-18,58.6112
2013-04-19,53.9477
2013-04-22,60.945
2013-04-23,58.6422
2013-04-24,60.0241
2013-04-25,55.8658
2013-04-26,57.5612
2013-04-29,55.37
2013-04-30,57.3613
2013-05-01,52.8573
2013-05-02,46.6139
2013-05-03,53.0892
2013-05-06,52.6262
2013-05-07,49.5699
2013-05-08,44.3933
2013-05-09,44.6139
2013-05-10,49.7023
2013-05-13,55.9504
2013-05-14,58.493
2013-05-15,56.5965
2013-05-16,51.7509
2013-05-17,62.6418
2013-05-20,55.7181
2013-05-21,53.2203
2013-05-22,53.1305
2013-05-23,50.315
2013-05-24,46.1579
2013-05-28,47.6162
2013-05-29,39.3646
2013-05-30,41.5004
2013-05-31,34.3764
2013-06-03,35.6964
2013-06-04,32.2218
2013-06-05,33.2946
2013-06-06,36.0052
2013-06-07,40.0388
2013-06-10,41.3388
2013-06-11,49.3954
2013-06-12,42.1286
2013-06-13,56.7607
2013-06-14,61.0026
2013-06-17,57.8922
2013-06-18,62.1491
2013-06-19,58.1289
2013-06-20,51.4979
2013-06-21,59.7996
2013-06-24,51.1466
2013-06-25,53.9686
2013-06-26,56.0997
2013-06-27,50.9286
2013-06-28,46.4062
2013-07-01,52.5467
2013-07-02,49.8384
2013-07-03,50.4918
2013-07-05,48.812
2013-07-08,51.6943
2013-07-09,48.7196
2013-07-10,60.0268
2013-07-11,62.0717
2013-07-12,65.8914
2013-07-15,62.0338
2013-07-16,54.0586
2013-07-17,49.1725
2013-07-18,55.5537
2013-07-19,55.8902
2013-07-22,61.054
2013-07-23,50.98
2013-07-24,48.536
2013-07-25,56.0978
2013-07-26,56.2446
2013-07-29,56.8049
2013-07-30,56.1825
2013-07-31,54.2195
2013-08-01,53.0208
2013-08-02,57.9469
2013-08-05,53.3268
2013-08-06,53.9993
2013-08-07,53.2218
2013-08-08,56.5234
2013-08-09,52.864
2013-08-12,60.0089
2013-08-13,58.1723
2013-08-14,55.9172
2013-08-15,43.6581
2013-08-16,46.0431
2013-08-19,44.1728
2013-08-20,41.6671
2013-08-21,35.3686
2013-08-22,38.4506
2013-08-23,44.8497
2013-08-26,50.8314
2013-08-27,42.8543
2013-08-28,41.7187
2013-08-29,43.2809
2013-08-30,45.5178
2013-09-03,40.3059
2013-09-04,41.5435
2013-09-05,46.0828
2013-09-06,53.5071
2013-09-09,59.2149
2013-09-10,64.398
2013-09-11,69.7381
2013-09-12,72.4344
2013-09-13,72.6821
2013-09-16,74.6716
2013-09-17,81.8356
2013-09-18,78.1406
2013-09-19,70.8447
2013-09-20,70.3978
2013-09-23,67.2912
2013-09-24,58.8433
2013-09-25,53.4009
2013-09-26,43.6619
2013-09-27,37.5019
2013-09-30,42.8398
2013-10-01,46.8208
2013-10-02,53.2841
2013-10-03,59.9376
2013-10-04,65.4853
2013-10-07,60.9695
2013-10-08,52.3701
2013-10-09,51.3247
2013-10-10,53.1764
2013-10-11,54.0516
2013-10-14,58.2196
2013-10-15,56.3438
2013-10-16,63.3289
2013-10-17,75.5866
2013-10-18,74.1605
2013-10-21,71.554
2013-10-22,70.1974
2013-10-23,63.1796
2013-10-24,57.2499
2013-10-25,58.298
2013-10-28,55.8326
2013-10-29,56.1413
2013-10-30,49.1872
2013-10-31,43.351
2013-11-01,45.8543
2013-11-04,50.8883
2013-11-05,43.6165
2013-11-06,38.8919
2013-11-07,33.5347
2013-11-08,43.7283
2013-11-11,47.692
2013-11-12,43.0218
2013-11-13,44.5053
2013-11-14,45.1956
2013-11-15,49.2407
2013-11-18,50.1423
2013-11-19,43.1807
2013-11-20,38.9429
2013-11-21,45.2762
2013-11-22,43.4395
2013-11-25,39.3862
2013-11-26,37.5765
2013-11-27,36.1339
2013-11-29,36.7564
