date,Real Upper Band,Real Lower Band,Real Middle Band
2010-05-25,23.415,15.446,19.4305
2010-05-26,23.1073,15.2687,19.188
2010-05-27,22.4723,15.3937,18.933
2010-05-28,21.9197,15.4933,18.7065
2010-06-01,21.0841,15.7989,18.4415
2010-06-02,20.5102,15.9558,18.233
2010-06-03,20.1026,16.0374,18.07
2010-06-04,19.9251,15.9749,17.95
2010-06-07,19.8675,15.8615,17.8645
2010-06-08,19.7382,15.7648,17.7515
2010-06-09,19.6014,15.6906,17.646
2010-06-10,19.2094,15.7996,17.5045
2010-06-11,18.7753,15.9827,17.379
2010-06-14,18.5652,16.0668,17.316
2010-06-15,18.3525,16.1915,17.272
2010-06-16,18.0633,16.3657,17.2145
2010-06-17,18.015,16.374,17.1945
2010-06-18,18.0193,16.4007,17.21
2010-06-21,17.9907,16.4843,17.2375
2010-06-22,17.9935,16.4755,17.2345
2010-06-23,17.9842,16.4928,17.2385
2010-06-24,17.9902,16.4518,17.221
2010-06-25,17.8881,16.4459,17.167
2010-06-28,17.7979,16.4461,17.122
2010-06-29,17.8109,16.3081,17.0595
2010-06-30,17.8381,16.1629,17.0005
2010-07-01,17.9454,15.8776,16.9115
2010-07-02,18.0373,15.6287,16.833
2010-07-06,18.1715,15.3115,16.7415
2010-07-07,18.2729,15.0351,16.654
2010-07-08,18.3281,14.8059,16.567
2010-07-09,18.2897,14.7273,16.5085
2010-07-12,18.2231,14.6619,16.4425
2010-07-13,18.1025,14.6735,16.388
2010-07-14,17.8633,14.7557,16.3095
2010-07-15,17.676,14.816,16.246
2010-07-16,17.5367,14.8453,16.191
2010-07-19,17.4223,14.8837,16.153
2010-07-20,17.3007,14.9143,16.1075
2010-07-21,17.2248,14.9302,16.0775
2010-07-22,17.2106,14.9344,16.0725
2010-07-23,17.2071,14.9359,16.0715
2010-07-26,17.4049,14.8211,16.113
2010-07-27,17.7405,14.6215,16.181
2010-07-28,18.0013,14.5287,16.265
2010-07-29,18.2363,14.4727,16.3545
2010-07-30,18.4501,14.5039,16.477
2010-08-02,18.638,14.574,16.606
