date,MACD_Hist,MACD,MACD_Signal
2010-06-15,0.4055,-0.8729,-1.2784
2010-06-16,0.3988,-0.7799,-1.1787
2010-06-17,0.3627,-0.7253,-1.088
2010-06-18,0.3253,-0.6814,-1.0067
2010-06-21,0.2869,-0.648,-0.9349
2010-06-22,0.2398,-0.6352,-0.875
2010-06-23,0.1935,-0.6331,-0.8266
2010-06-24,0.1715,-0.6123,-0.7837
2010-06-25,0.1571,-0.5874,-0.7445
2010-06-28,0.1498,-0.5572,-0.707
2010-06-29,0.1043,-0.5767,-0.6809
2010-06-30,0.0701,-0.5933,-0.6634
2010-07-01,0.0128,-0.6475,-0.6602
2010-07-02,-0.0223,-0.6881,-0.6658
2010-07-06,-0.0638,-0.7456,-0.6818
2010-07-07,-0.0841,-0.7869,-0.7028
2010-07-08,-0.0828,-0.8063,-0.7235
2010-07-09,-0.0232,-0.7526,-0.7293
2010-07-12,0.0233,-0.7002,-0.7235
2010-07-13,0.0948,-0.605,-0.6998
2010-07-14,0.141,-0.5235,-0.6645
2010-07-15,0.1668,-0.456,-0.6228
2010-07-16,0.169,-0.4116,-0.5806
2010-07-19,0.1828,-0.3521,-0.5349
2010-07-20,0.1701,-0.3222,-0.4924
2010-07-21,0.1609,-0.2912,-0.4521
2010-07-22,0.1707,-0.2388,-0.4095
2010-07-23,0.1862,-0.1767,-0.3629
2010-07-26,0.245,-0.0566,-0.3016
2010-07-27,0.3088,0.0844,-0.2244
2010-07-28,0.3155,0.17,-0.1456
2010-07-29,0.3051,0.2359,-0.0693
2010-07-30,0.2871,0.2896,0.0025
2010-08-02,0.2645,0.3332,0.0686
2010-08-03,0.2257,0.3508,0.1251
2010-08-04,0.2139,0.3925,0.1785
2010-08-05,0.1899,0.4159,0.226
2010-08-06,0.1474,0.4103,0.2629
2010-08-09,0.1139,0.4053,0.2913
2010-08-10,0.0805,0.3919,0.3115
2010-08-11,0.0282,0.3467,0.3185
2010-08-12,-0.016,0.2985,0.3145
2010-08-13,-0.0125,0.2989,0.3114
2010-08-16,0.0309,0.35,0.3191
2010-08-17,0.0771,0.4155,0.3384
2010-08-18,0.1456,0.5204,0.3748
2010-08-19,0.1775,0.5966,0.4192
2010-08-20,0.1901,0.6567,0.4667
2010-08-23,0.1946,0.7099,0.5153
2010-08-24,0.1781,0.7379,0.5598
2010-08-25,0.1494,0.7466,0.5972
2010-08-26,0.1227,0.7505,0.6279
2010-08-27,0.1218,0.7801,0.6583
2010-08-30,0.0949,0.7769,0.682
2010-08-31,0.0847,0.7878,0.7032
2010-09-01,0.1006,0.8289,0.7283
2010-09-02,0.0942,0.8461,0.7519
2010-09-03,0.0899,0.8642,0.7744
2010-09-07,0.0646,0.8551,0.7905
2010-09-08,0.04,0.8405,0.8005
2010-09-09,-0.0033,0.7964,0.7997
2010-09-10,-0.0318,0.7599,0.7917
2010-09-13,-0.0176,0.7698,0.7873
2010-09-14,-0.0066,0.7791,0.7857
2010-09-15,-0.0034,0.7815,0.7849
2010-09-16,0.0102,0.7976,0.7874
2010-09-17,0.0365,0.8331,0.7965
2010-09-20,0.0406,0.8473,0.8067
2010-09-21,0.0344,0.8497,0.8153
2010-09-22,0.004,0.8203,0.8163
2010-09-23,-0.0285,0.7807,0.8092
2010-09-24,-0.0157,0.7895,0.8052
2010-09-27,0.0266,0.8384,0.8119
2010-09-28,0.0663,0.8947,0.8284
2010-09-29,0.0913,0.9426,0.8513
2010-09-30,0.1123,0.9917,0.8794
2010-10-01,0.1097,1.0165,0.9068
2010-10-04,0.1081,1.0419,0.9338
2010-10-05,0.1375,1.1057,0.9682
2010-10-06,0.1036,1.0977,0.9941
2010-10-07,0.0825,1.0972,1.0147
2010-10-08,0.1068,1.1482,1.0414
2010-10-11,0.1649,1.2476,1.0826
2010-10-12,0.1918,1.3224,1.1306
2010-10-13,0.2311,1.4194,1.1884
2010-10-14,0.2359,1.4833,1.2473
2010-10-15,0.182,1.4749,1.2929
2010-10-18,0.1429,1.4715,1.3286
2010-10-19,0.0841,1.4337,1.3496
2010-10-20,0.0694,1.4364,1.3669
2010-10-21,0.0716,1.4564,1.3848
2010-10-22,0.0559,1.4547,1.3988
2010-10-25,0.0566,1.4695,1.413
2010-10-26,0.0258,1.4452,1.4194
2010-10-27,-0.0403,1.3691,1.4093
2010-10-28,-0.0733,1.3177,1.391
2010-10-29,-0.1443,1.2106,1.3549
2010-11-01,-0.2485,1.0443,1.2928
2010-11-02,-0.2724,0.9523,1.2247
2010-11-03,-0.2638,0.895,1.1588
2010-11-04,-0.2258,0.8765,1.1023
2010-11-05,-0.1402,0.9271,1.0673
2010-11-08,-0.057,0.996,1.053
2010-11-09,-0.0377,1.0059,1.0436
2010-11-10,-0.0395,0.9943,1.0337
