date,SMA
2010-05-25,19.4305
2010-05-26,19.188
2010-05-27,18.933
2010-05-28,18.7065
2010-06-01,18.4415
2010-06-02,18.233
2010-06-03,18.07
2010-06-04,17.95
2010-06-07,17.8645
2010-06-08,17.7515
2010-06-09,17.646
2010-06-10,17.5045
2010-06-11,17.379
2010-06-14,17.316
2010-06-15,17.272
2010-06-16,17.2145
2010-06-17,17.1945
2010-06-18,17.21
2010-06-21,17.2375
2010-06-22,17.2345
2010-06-23,17.2385
2010-06-24,17.221
2010-06-25,17.167
2010-06-28,17.122
2010-06-29,17.0595
2010-06-30,17.0005
2010-07-01,16.9115
2010-07-02,16.833
2010-07-06,16.7415
2010-07-07,16.654
2010-07-08,16.567
2010-07-09,16.5085
2010-07-12,16.4425
2010-07-13,16.388
2010-07-14,16.3095
2010-07-15,16.246
2010-07-16,16.191
2010-07-19,16.153
2010-07-20,16.1075
2010-07-21,16.0775
2010-07-22,16.0725
2010-07-23,16.0715
2010-07-26,16.113
2010-07-27,16.181
2010-07-28,16.265
2010-07-29,16.3545
2010-07-30,16.477
2010-08-02,16.606
2010-08-03,16.748
2010-08-04,16.913
2010-08-05,17.0725
2010-08-06,17.1825
2010-08-09,17.294
2010-08-10,17.3735
2010-08-11,17.434
2010-08-12,17.4905
2010-08-13,17.5815
2010-08-16,17.694
2010-08-17,17.838
2010-08-18,18.016
2010-08-19,18.1785
2010-08-20,18.334
2010-08-23,18.4545
2010-08-24,18.5425
2010-08-25,18.6425
2010-08-26,18.7455
2010-08-27,18.8675
2010-08-30,18.9755
2010-08-31,19.1055
2010-09-01,19.2415
2010-09-02,19.377
2010-09-03,19.5335
2010-09-07,19.679
2010-09-08,19.829
2010-09-09,19.9835
2010-09-10,20.148
2010-09-13,20.316
2010-09-14,20.4565
2010-09-15,20.581
2010-09-16,20.6835
2010-09-17,20.806
2010-09-20,20.9215
2010-09-21,21.029
2010-09-22,21.1265
2010-09-23,21.2225
2010-09-24,21.3455
2010-09-27,21.4785
2010-09-28,21.6397
2010-09-29,21.7957
2010-09-30,21.9397
2010-10-01,22.0857
2010-10-04,22.2337
2010-10-05,22.4252
2010-10-06,22.5867
2010-10-07,22.7742
2010-10-08,22.9972
2010-10-11,23.2362
2010-10-12,23.4757
2010-10-13,23.7462
2010-10-14,24.0047
2010-10-15,24.2172
2010-10-18,24.4447
2010-10-19,24.6602
2010-10-20,24.9197
2010-10-21,25.2052
2010-10-22,25.4597
2010-10-25,25.7027
2010-10-26,25.9165
2010-10-27,26.096
2010-10-28,26.2765
2010-10-29,26.426
2010-11-01,26.5215
2010-11-02,26.6135
2010-11-03,26.75
2010-11-04,26.898
2010-11-05,27.053
2010-11-08,27.1875
2010-11-09,27.2945
2010-11-10,27.363
2010-11-11,27.4265
2010-11-12,27.4715
2010-11-15,27.517
2010-11-16,27.526
2010-11-17,27.531
2010-11-18,27.5375
2010-11-19,27.5975
2010-11-22,27.6835
2010-11-23,27.745
2010-11-24,27.8595
2010-11-26,27.953
2010-11-29,28.0975
2010-11-30,28.258
2010-12-01,28.4205
2010-12-02,28.5975
2010-12-03,28.753
2010-12-06,28.8895
2010-12-07,29.027
2010-12-08,29.148
2010-12-09,29.2615
2010-12-10,29.402
2010-12-13,29.625
2010-12-14,29.8415
2010-12-15,30.094
2010-12-16,30.2925
2010-12-17,30.5015
2010-12-20,30.669
2010-12-21,30.8125
2010-12-22,31.0125
2010-12-23,31.184
2010-12-27,31.363
2010-12-28,31.5395
2010-12-29,31.749
2010-12-30,31.943
2010-12-31,32.1385
2011-01-03,32.3405
2011-01-04,32.53
2011-01-05,32.6925
2011-01-06,32.898
2011-01-07,33.0985
2011-01-10,33.3055
2011-01-11,33.536
2011-01-12,33.7735
2011-01-13,34.006
2011-01-14,34.2765
2011-01-18,34.508
2011-01-19,34.686
2011-01-20,34.8295
2011-01-21,34.9345
2011-01-24,35.0705
2011-01-25,35.2075
2011-01-26,35.3435
2011-01-27,35.4835
2011-01-28,35.5385
2011-01-31,35.6155
2011-02-01,35.7295
2011-02-02,35.8135
2011-02-03,35.877
2011-02-04,35.937
2011-02-07,35.982
2011-02-08,35.994
2011-02-09,35.9625
2011-02-10,35.963
2011-02-11,35.9965
2011-02-14,36.036
2011-02-15,36.085
2011-02-16,36.179
2011-02-17,36.3375
2011-02-18,36.4825
2011-02-22,36.492
2011-02-23,36.539
2011-02-24,36.574
2011-02-25,36.6725
2011-02-28,36.8335
2011-03-01,36.8895
2011-03-02,36.951
2011-03-03,37.1015
2011-03-04,37.2775
2011-03-07,37.4605
2011-03-08,37.721
2011-03-09,37.992
2011-03-10,38.1845
2011-03-11,38.305
2011-03-14,38.411
2011-03-15,38.455
2011-03-16,38.4855
2011-03-17,38.558
2011-03-18,38.5485
2011-03-21,38.6345
2011-03-22,38.795
2011-03-23,38.9565
2011-03-24,39.141
2011-03-25,39.2505
2011-03-28,39.357
2011-03-29,39.511
2011-03-30,39.5915
2011-03-31,39.591
2011-04-01,39.6225
2011-04-04,39.6635
2011-04-05,39.694
2011-04-06,39.7295
2011-04-07,39.82
2011-04-08,39.991
2011-04-11,40.156
2011-04-12,40.2685
2011-04-13,40.3955
2011-04-14,40.467
2011-04-15,40.5975
2011-04-18,40.617
2011-04-19,40.7035
2011-04-20,40.81
2011-04-21,40.927
2011-04-25,41.072
2011-04-26,41.251
2011-04-27,41.429
2011-04-28,41.667
2011-04-29,41.9145
2011-05-02,42.182
2011-05-03,42.378
2011-05-04,42.4525
2011-05-05,42.4545
2011-05-06,42.4335
2011-05-09,42.3795
2011-05-10,42.367
2011-05-11,42.4515
2011-05-12,42.4865
2011-05-13,42.4495
2011-05-16,42.304
2011-05-17,42.2485
2011-05-18,42.2595
2011-05-19,42.2095
2011-05-20,42.073
2011-05-23,41.855
2011-05-24,41.653
2011-05-25,41.5475
2011-05-26,41.4135
2011-05-27,41.3255
2011-05-31,41.235
2011-06-01,41.1205
2011-06-02,41.064
2011-06-03,40.976
2011-06-06,40.834
2011-06-07,40.703
2011-06-08,40.552
2011-06-09,40.441
2011-06-10,40.3395
2011-06-13,40.2705
2011-06-14,40.3595
2011-06-15,40.33
2011-06-16,40.1305
2011-06-17,39.9245
2011-06-20,39.7525
2011-06-21,39.738
2011-06-22,39.6855
2011-06-23,39.509
2011-06-24,39.3
2011-06-27,39.026
2011-06-28,38.7095
2011-06-29,38.51
2011-06-30,38.351
2011-07-01,38.3025
2011-07-05,38.385
2011-07-06,38.4135
2011-07-07,38.514
