date,ULTOSC
2010-06-08,56.3854
2010-06-09,45.9714
2010-06-10,46.9351
2010-06-11,51.1481
2010-06-14,54.3896
2010-06-15,61.1538
2010-06-16,58.8861
2010-06-17,54.5817
2010-06-18,53.455
2010-06-21,47.2699
2010-06-22,43.3523
2010-06-23,37.585
2010-06-24,35.9069
2010-06-25,39.4414
2010-06-28,43.9454
2010-06-29,38.2554
2010-06-30,37.4777
2010-07-01,34.367
2010-07-02,34.1007
2010-07-06,25.8914
2010-07-07,26.4784
2010-07-08,25.0526
2010-07-09,37.9249
2010-07-12,39.2913
2010-07-13,50.1976
2010-07-14,53.0471
2010-07-15,59.9686
2010-07-16,60.1883
2010-07-19,59.5653
2010-07-20,55.137
2010-07-21,57.8934
2010-07-22,58.7654
2010-07-23,61.2797
2010-07-26,67.7339
2010-07-27,73.7867
2010-07-28,71.7735
2010-07-29,71.7877
2010-07-30,73.7852
2010-08-02,70.0123
2010-08-03,67.0961
2010-08-04,63.1323
2010-08-05,55.8546
2010-08-06,55.4773
2010-08-09,57.3292
2010-08-10,54.6182
2010-08-11,50.1863
2010-08-12,48.9635
2010-08-13,52.9128
2010-08-16,52.1299
2010-08-17,56.9237
2010-08-18,61.0046
2010-08-19,63.0351
2010-08-20,65.5179
2010-08-23,65.2372
2010-08-24,63.8911
2010-08-25,65.312
2010-08-26,59.1689
2010-08-27,61.0623
2010-08-30,49.2429
2010-08-31,53.2668
2010-09-01,56.0443
2010-09-02,53.9353
2010-09-03,54.3302
2010-09-07,57.8975
2010-09-08,51.6707
2010-09-09,50.6716
2010-09-10,48.8003
2010-09-13,54.3839
2010-09-14,54.7969
2010-09-15,55.5378
2010-09-16,54.2455
2010-09-17,59.2888
2010-09-20,66.1986
2010-09-21,64.7744
2010-09-22,53.5277
2010-09-23,53.5885
2010-09-24,61.4256
2010-09-27,71.774
2010-09-28,69.168
2010-09-29,67.5396
2010-09-30,71.3634
2010-10-01,72.1431
2010-10-04,68.8
2010-10-05,68.2552
2010-10-06,60.6441
2010-10-07,60.0272
2010-10-08,66.8212
2010-10-11,65.6377
2010-10-12,70.3734
2010-10-13,72.9914
2010-10-14,70.0831
2010-10-15,67.9381
2010-10-18,66.7626
2010-10-19,61.8315
2010-10-20,62.4311
2010-10-21,58.25
2010-10-22,56.5782
2010-10-25,54.3549
2010-10-26,63.4441
2010-10-27,60.5188
2010-10-28,62.7371
2010-10-29,52.4957
2010-11-01,47.1454
2010-11-02,48.5864
2010-11-03,48.0777
2010-11-04,46.7318
2010-11-05,54.6403
2010-11-08,57.2032
2010-11-09,59.1593
2010-11-10,66.0213
2010-11-11,62.4974
2010-11-12,56.9206
2010-11-15,55.4847
2010-11-16,46.6009
2010-11-17,48.2303
2010-11-18,50.4726
2010-11-19,55.3384
2010-11-22,60.2393
2010-11-23,60.6729
2010-11-24,63.1335
2010-11-26,65.8411
2010-11-29,65.2174
2010-11-30,64.2188
2010-12-01,62.4656
2010-12-02,64.6965
2010-12-03,72.7269
2010-12-06,73.08
2010-12-07,75.7324
2010-12-08,66.6087
2010-12-09,68.2407
2010-12-10,68.7646
2010-12-13,67.4907
2010-12-14,66.8278
2010-12-15,62.8651
2010-12-16,57.1457
2010-12-17,64.294
2010-12-20,67.7611
2010-12-21,67.9697
2010-12-22,67.7218
2010-12-23,67.8944
2010-12-27,71.0678
2010-12-28,80.9687
2010-12-29,82.3771
2010-12-30,82.9371
2010-12-31,80.9752
2011-01-03,72.3024
2011-01-04,73.6457
2011-01-05,72.8593
2011-01-06,72.5129
2011-01-07,63.9023
2011-01-10,65.1128
2011-01-11,68.8482
