date,Real Upper Band,Real Lower Band,Real Middle Band
2000-01-31,47.9822,37.0958,42.539
2000-02-01,47.5198,36.6712,42.0955
2000-02-02,47.1068,36.4282,41.7675
2000-02-03,46.8349,36.2441,41.5395
2000-02-04,46.8188,36.1972,41.508
2000-02-07,46.8314,35.8026,41.317
2000-02-08,46.6221,35.6749,41.1485
2000-02-09,46.5898,35.6452,41.1175
2000-02-10,48.0623,35.0537,41.558
2000-02-11,49.4264,34.4766,41.9515
2000-02-14,52.8828,32.4262,42.6545
2000-02-15,54.8107,31.4923,43.1515
2000-02-16,57.1856,30.4104,43.798
2000-02-17,59.7699,29.3391,44.5545
2000-02-18,63.8679,27.5041,45.686
2000-02-22,66.8784,26.7686,46.8235
2000-02-23,69.5707,26.4263,47.9985
2000-02-24,71.7675,26.6915,49.2295
2000-02-25,72.9117,27.8163,50.364
2000-02-28,73.6864,29.3786,51.5325
2000-02-29,74.622,31.137,52.8795
2000-03-01,75.0499,33.1281,54.089
2000-03-02,74.8653,35.2067,55.036
2000-03-03,74.5722,37.4248,55.9985
2000-03-06,74.0812,39.7098,56.8955
2000-03-07,77.6907,40.6253,59.158
2000-03-08,80.6796,42.0484,61.364
2000-03-09,87.9373,40.7327,64.335
2000-03-10,100.0258,35.5192,67.7725
2000-03-13,119.7252,25.7498,72.7375
2000-03-14,124.5,26.185,75.3425
2000-03-15,127.8143,27.8557,77.835
2000-03-16,129.2485,30.0075,79.628
2000-03-17,131.1462,32.0598,81.603
2000-03-20,132.9221,33.5269,83.2245
2000-03-21,133.9434,35.4436,84.6935
2000-03-22,134.8558,37.4992,86.1775
2000-03-23,135.6968,39.8582,87.7775
2000-03-24,135.751,43.004,89.3775
2000-03-27,135.1986,46.1874,90.693
2000-03-28,134.6027,48.4393,91.521
2000-03-29,133.8243,50.5297,92.177
2000-03-30,132.4862,53.5548,93.0205
2000-03-31,130.8034,57.7976,94.3005
2000-04-03,128.8298,61.7092,95.2695
2000-04-04,129.193,60.515,94.854
2000-04-05,129.2535,61.2235,95.2385
2000-04-06,128.9587,61.0823,95.0205
2000-04-07,126.736,61.765,94.2505
2000-04-10,111.9104,71.0106,91.4605
2000-04-11,108.9611,71.7439,90.3525
2000-04-12,106.8806,71.1454,89.013
2000-04-13,106.7116,69.4414,88.0765
2000-04-14,106.12,66.925,86.5225
2000-04-17,104.6817,65.6133,85.1475
2000-04-18,103.6782,65.6418,84.66
2000-04-19,102.3312,65.5388,83.935
2000-04-20,100.4932,65.7148,83.104
2000-04-24,99.2371,65.3149,82.276
2000-04-25,99.0414,65.3046,82.173
2000-04-26,99.2234,65.4796,82.3515
2000-04-27,100.0816,66.1964,83.139
2000-04-28,100.5375,67.1725,83.855
2000-05-01,101.2877,67.1743,84.231
2000-05-02,101.6496,67.8684,84.759
2000-05-03,101.6626,69.0554,85.359
2000-05-04,101.2747,69.0803,85.1775
2000-05-05,100.6547,69.3193,84.987
2000-05-08,97.8719,70.7171,84.2945
2000-05-09,96.9981,70.9909,83.9945
2000-05-10,96.5949,70.4881,83.5415
2000-05-11,96.6026,70.8244,83.7135
2000-05-12,96.3947,71.4633,83.929
2000-05-15,95.1081,74.3949,84.7515
2000-05-16,95.2543,76.4177,85.836
2000-05-17,101.3814,72.8276,87.1045
2000-05-18,103.7657,72.6373,88.2015
2000-05-19,105.5477,73.0023,89.275
2000-05-22,108.167,73.6,90.8835
2000-05-23,110.5882,73.4688,92.0285
2000-05-24,112.3529,73.9411,93.147
2000-05-25,113.6985,73.9955,93.847
2000-05-26,115.0152,74.3158,94.6655
2000-05-30,116.9124,74.2086,95.5605
2000-05-31,119.1229,74.4341,96.7785
2000-06-01,121.856,74.731,98.2935
2000-06-02,127.6211,73.3199,100.4705
2000-06-05,133.1719,71.9961,102.584
2000-06-06,136.2858,72.7772,104.5315
2000-06-07,137.8705,74.6425,106.2565
2000-06-08,138.2161,78.6989,108.4575
2000-06-09,138.8271,82.5029,110.665
2000-06-12,137.6133,88.0517,112.8325
2000-06-13,136.9187,92.9113,114.915
2000-06-14,136.9061,96.2039,116.555
2000-06-15,138.5037,96.5663,117.535
2000-06-16,144.0356,95.7144,119.875
2000-06-19,150.9345,94.5155,122.725
2000-06-20,156.2592,94.0108,125.135
2000-06-21,164.763,92.007,128.385
2000-06-22,169.2046,93.2654,131.235
2000-06-23,170.028,96.752,133.39
2000-06-26,173.3108,99.5092,136.41
2000-06-27,179.8134,89.1416,134.4775
2000-06-28,185.294,79.231,132.2625
2000-06-29,191.1149,67.5431,129.329
2000-06-30,194.0099,57.8441,125.927
2000-07-03,195.7956,48.7314,122.2635
2000-07-05,197.7539,39.4591,118.6065
2000-07-06,198.8178,31.9832,115.4005
2000-07-07,199.1128,25.2172,112.165
2000-07-10,198.328,19.481,108.9045
2000-07-11,197.104,15.008,106.056
2000-07-12,195.0773,11.1447,103.111
2000-07-13,192.5942,8.3858,100.49
2000-07-14,189.428,5.923,97.6755
2000-07-17,182.9305,4.7405,93.8355
2000-07-18,173.7712,5.1458,89.4585
2000-07-19,163.801,6.116,84.9585
2000-07-20,147.6746,11.8334,79.754
2000-07-21,131.124,19.003,75.0635
2000-07-24,115.8825,25.6595,70.771
2000-07-25,77.1007,53.9893,65.545
2000-07-26,76.6636,52.9824,64.823
2000-07-27,76.8482,51.2228,64.0355
2000-07-28,77.155,50.453,63.804
2000-07-31,77.0798,50.1722,63.626
2000-08-01,77.0874,49.9326,63.51
2000-08-02,76.8393,50.7247,63.782
2000-08-03,76.8088,51.2302,64.0195
2000-08-04,76.8065,51.7885,64.2975
2000-08-07,77.2428,52.1082,64.6755
2000-08-08,77.3341,52.1289,64.7315
2000-08-09,77.1107,52.0773,64.594
2000-08-10,75.8886,52.4614,64.175
2000-08-11,74.559,52.854,63.7065
2000-08-14,73.3214,53.2976,63.3095
2000-08-15,73.2452,53.3378,63.2915
2000-08-16,74.3067,52.8763,63.5915
2000-08-17,75.3738,52.3662,63.87
2000-08-18,76.8652,51.6058,64.2355
2000-08-21,79.0012,51.0638,65.0325
2000-08-22,79.5839,51.4241,65.504
2000-08-23,80.4692,52.3518,66.4105
2000-08-24,80.9109,54.3291,67.62
2000-08-25,80.7543,56.5857,68.67
2000-08-28,81.6185,57.5215,69.57
2000-08-29,82.0082,59.0318,70.52
2000-08-30,82.361,60.529,71.445
2000-08-31,82.9317,61.6333,72.2825
2000-09-01,83.4035,62.7365,73.07
2000-09-05,84.1246,63.1034,73.614
2000-09-06,84.0552,63.8608,73.958
2000-09-07,84.0152,65.1888,74.602
2000-09-08,83.5496,66.4044,74.977
2000-09-11,82.6912,67.8688,75.28
2000-09-12,81.7939,69.2661,75.53
2000-09-13,81.9153,69.0277,75.4715
2000-09-14,82.1891,68.3919,75.2905
2000-09-15,82.2698,67.9622,75.116
2000-09-18,82.5668,66.6402,74.6035
2000-09-19,82.2999,65.9691,74.1345
2000-09-20,82.6259,65.2181,73.922
2000-09-21,82.551,64.741,73.646
2000-09-22,82.1934,64.4676,73.3305
2000-09-25,82.2589,64.4711,73.365
2000-09-26,82.1843,64.4957,73.34
2000-09-27,82.9294,64.1446,73.537
2000-09-28,84.1159,63.5331,73.8245
2000-09-29,84.5635,63.3355,73.9495
2000-10-02,84.6331,63.3099,73.9715
2000-10-03,84.1473,63.3957,73.7715
2000-10-04,84.1861,63.4189,73.8025
2000-10-05,83.741,63.351,73.546
2000-10-06,83.7283,62.8577,73.293
2000-10-09,83.7331,62.7969,73.265
2000-10-10,84.0454,61.9416,72.9935
2000-10-11,84.2551,61.2479,72.7515
2000-10-12,84.6652,60.1628,72.414
2000-10-13,84.7715,59.4805,72.126
2000-10-16,84.9495,58.9905,71.97
2000-10-17,85.5916,57.3674,71.4795
2000-10-18,86.2072,55.9018,71.0545
2000-10-19,86.2467,55.2893,70.768
2000-10-20,86.2046,55.2314,70.718
2000-10-23,85.6897,54.9833,70.3365
2000-10-24,84.8578,54.6532,69.7555
2000-10-25,83.2746,54.0744,68.6745
2000-10-26,80.5255,54.6675,67.5965
2000-10-27,77.9735,55.1565,66.565
2000-10-30,75.7887,55.0413,65.415
2000-10-31,74.0716,55.4094,64.7405
2000-11-01,72.2828,55.9362,64.1095
2000-11-02,71.0253,56.5817,63.8035
2000-11-03,71.6164,56.2716,63.944
2000-11-06,73.4502,55.1188,64.2845
2000-11-07,74.3312,54.9308,64.631
2000-11-08,74.767,54.92,64.8435
