date,MACD,MACD_Hist,MACD_Signal
2000-02-18,4.4433,3.6287,0.8147
2000-02-22,5.1221,3.446,1.6761
2000-02-23,5.6259,3.1598,2.4661
2000-02-24,5.9062,2.7521,3.1541
2000-02-25,5.7346,2.0644,3.6702
2000-02-28,5.4997,1.4636,4.0361
2000-02-29,5.5123,1.181,4.3314
2000-03-01,5.3102,0.7831,4.5271
2000-03-02,4.757,0.1839,4.5731
2000-03-03,4.3444,-0.1829,4.5274
2000-03-06,3.9414,-0.4688,4.4102
2000-03-07,5.5598,0.9197,4.6401
2000-03-08,6.8195,1.7435,5.076
2000-03-09,9.029,3.1624,5.8666
2000-03-10,12.0691,4.9621,7.1071
2000-03-13,16.8104,7.7626,9.0477
2000-03-14,17.2064,6.5269,10.6795
2000-03-15,16.9615,5.0257,11.9359
2000-03-16,15.6647,2.983,12.6816
2000-03-17,14.9256,1.7951,13.1304
2000-03-20,14.1708,0.8323,13.3385
2000-03-21,13.0247,-0.251,13.2757
2000-03-22,12.0326,-0.9945,13.0271
2000-03-23,11.253,-1.4193,12.6723
2000-03-24,10.1901,-1.9858,12.1759
2000-03-27,8.7522,-2.7389,11.4911
2000-03-28,7.0074,-3.587,10.5944
2000-03-29,5.1369,-4.366,9.5029
2000-03-30,3.5778,-4.7401,8.3179
2000-03-31,3.0869,-4.1848,7.2717
2000-04-03,2.1406,-4.1048,6.2455
2000-04-04,1.1451,-4.0803,5.2254
2000-04-05,1.6835,-2.8335,4.517
2000-04-06,2.4251,-1.6735,4.0986
2000-04-07,3.5098,-0.471,3.9809
2000-04-10,3.5937,-0.3097,3.9034
2000-04-11,3.175,-0.5827,3.7577
2000-04-12,2.0824,-1.3403,3.4227
2000-04-13,0.9339,-1.9911,2.9249
2000-04-14,-0.5063,-2.745,2.2387
2000-04-17,-1.3489,-2.8701,1.5211
2000-04-18,-0.971,-1.9937,1.0227
2000-04-19,-0.9886,-1.609,0.6205
2000-04-20,-1.0253,-1.3166,0.2913
2000-04-24,-1.3616,-1.3223,-0.0393
2000-04-25,-0.9418,-0.722,-0.2198
2000-04-26,-0.6715,-0.3614,-0.3101
2000-04-27,0.0959,0.3248,-0.2289
2000-04-28,0.5469,0.6206,-0.0738
2000-05-01,1.1229,0.9573,0.1656
2000-05-02,1.2774,0.8895,0.3879
2000-05-03,1.2691,0.7049,0.5642
2000-05-04,1.3326,0.6148,0.7179
2000-05-05,1.6919,0.7792,0.9127
2000-05-08,1.6845,0.6174,1.067
2000-05-09,1.5597,0.3942,1.1656
2000-05-10,0.7566,-0.3272,1.0838
2000-05-11,0.3876,-0.557,0.9445
2000-05-12,-0.1054,-0.8399,0.7345
2000-05-15,-0.0517,-0.629,0.5773
2000-05-16,0.689,0.0894,0.5996
2000-05-17,2.5777,1.5824,0.9952
2000-05-18,3.4298,1.9476,1.4822
