date,SMA
2000-01-31,42.539
2000-02-01,42.0955
2000-02-02,41.7675
2000-02-03,41.5395
2000-02-04,41.508
2000-02-07,41.317
2000-02-08,41.1485
2000-02-09,41.1175
2000-02-10,41.558
2000-02-11,41.9515
2000-02-14,42.6545
2000-02-15,43.1515
2000-02-16,43.798
2000-02-17,44.5545
2000-02-18,45.686
2000-02-22,46.8235
2000-02-23,47.9985
2000-02-24,49.2295
2000-02-25,50.364
2000-02-28,51.5325
2000-02-29,52.8795
2000-03-01,54.089
2000-03-02,55.036
2000-03-03,55.9985
2000-03-06,56.8955
2000-03-07,59.158
2000-03-08,61.364
2000-03-09,64.335
2000-03-10,67.7725
2000-03-13,72.7375
2000-03-14,75.3425
2000-03-15,77.835
2000-03-16,79.628
2000-03-17,81.603
2000-03-20,83.2245
2000-03-21,84.6935
2000-03-22,86.1775
2000-03-23,87.7775
2000-03-24,89.3775
2000-03-27,90.693
2000-03-28,91.521
2000-03-29,92.177
2000-03-30,93.0205
2000-03-31,94.3005
2000-04-03,95.2695
2000-04-04,94.854
2000-04-05,95.2385
2000-04-06,95.0205
2000-04-07,94.2505
2000-04-10,91.4605
2000-04-11,90.3525
2000-04-12,89.013
2000-04-13,88.0765
2000-04-14,86.5225
2000-04-17,85.1475
2000-04-18,84.66
2000-04-19,83.935
2000-04-20,83.104
2000-04-24,82.276
2000-04-25,82.173
2000-04-26,82.3515
2000-04-27,83.139
2000-04-28,83.855
2000-05-01,84.231
2000-05-02,84.759
2000-05-03,85.359
2000-05-04,85.1775
2000-05-05,84.987
2000-05-08,84.2945
2000-05-09,83.9945
2000-05-10,83.5415
2000-05-11,83.7135
2000-05-12,83.929
2000-05-15,84.7515
2000-05-16,85.836
2000-05-17,87.1045
2000-05-18,88.2015
2000-05-19,89.275
2000-05-22,90.8835
2000-05-23,92.0285
2000-05-24,93.147
2000-05-25,93.847
2000-05-26,94.6655
2000-05-30,95.5605
2000-05-31,96.7785
2000-06-01,98.2935
2000-06-02,100.4705
2000-06-05,102.584
2000-06-06,104.5315
2000-06-07,106.2565
2000-06-08,108.4575
2000-06-09,110.665
2000-06-12,112.8325
2000-06-13,114.915
2000-06-14,116.555
2000-06-15,117.535
2000-06-16,119.875
2000-06-19,122.725
2000-06-20,125.135
2000-06-21,128.385
2000-06-22,131.235
2000-06-23,133.39
2000-06-26,136.41
2000-06-27,134.4775
2000-06-28,132.2625
2000-06-29,129.329
2000-06-30,125.927
2000-07-03,122.2635
2000-07-05,118.6065
2000-07-06,115.4005
2000-07-07,112.165
2000-07-10,108.9045
2000-07-11,106.056
2000-07-12,103.111
2000-07-13,100.49
2000-07-14,97.6755
2000-07-17,93.8355
2000-07-18,89.4585
2000-07-19,84.9585
2000-07-20,79.754
2000-07-21,75.0635
2000-07-24,70.771
2000-07-25,65.545
2000-07-26,64.823
2000-07-27,64.0355
2000-07-28,63.804
2000-07-31,63.626
2000-08-01,63.51
2000-08-02,63.782
2000-08-03,64.0195
2000-08-04,64.2975
2000-08-07,64.6755
2000-08-08,64.7315
2000-08-09,64.594
2000-08-10,64.175
2000-08-11,63.7065
2000-08-14,63.3095
2000-08-15,63.2915
2000-08-16,63.5915
2000-08-17,63.87
2000-08-18,64.2355
