date,ULTOSC
2000-02-11,60.4565
2000-02-14,69.541
2000-02-15,68.0665
2000-02-16,70.4762
2000-02-17,72.5878
2000-02-18,76.4967
2000-02-22,73.2956
2000-02-23,74.2065
2000-02-24,70.2991
2000-02-25,67.4258
2000-02-28,68.4642
2000-02-29,68.9474
2000-03-01,62.538
2000-03-02,54.6002
2000-03-03,54.2988
2000-03-06,45.0569
2000-03-07,65.1135
2000-03-08,68.1984
2000-03-09,67.4934
2000-03-10,58.1734
2000-03-13,69.1947
2000-03-14,56.6682
2000-03-15,54.2126
2000-03-16,47.5129
2000-03-17,46.9889
2000-03-20,44.4056
2000-03-21,45.5157
2000-03-22,34.2212
2000-03-23,39.0357
2000-03-24,40.2396
2000-03-27,40.7191
2000-03-28,36.8
2000-03-29,35.8232
2000-03-30,33.0952
2000-03-31,34.6933
2000-04-03,35.4902
2000-04-04,43.8574
2000-04-05,53.2457
2000-04-06,54.348
2000-04-07,57.5019
2000-04-10,52.2281
2000-04-11,51.1328
2000-04-12,48.6947
2000-04-13,44.2871
2000-04-14,37.3216
2000-04-17,40.8773
2000-04-18,43.6884
2000-04-19,45.4081
2000-04-20,41.7529
2000-04-24,46.7927
2000-04-25,51.3165
2000-04-26,47.4595
2000-04-27,50.9849
2000-04-28,43.5212
2000-05-01,48.0566
2000-05-02,45.7473
2000-05-03,48.7512
2000-05-04,45.7539
2000-05-05,52.4029
2000-05-08,42.7486
2000-05-09,44.7697
2000-05-10,40.526
2000-05-11,44.8897
2000-05-12,35.9721
2000-05-15,42.8401
2000-05-16,46.0271
2000-05-17,53.6006
2000-05-18,49.7268
2000-05-19,52.8315
2000-05-22,60.1157
2000-05-23,59.6973
2000-05-24,61.5838
2000-05-25,56.1451
2000-05-26,54.4067
2000-05-30,58.4251
2000-05-31,59.5865
2000-06-01,55.3832
2000-06-02,65.0732
2000-06-05,60.7176
2000-06-06,57.6317
2000-06-07,53.011
2000-06-08,54.6901
2000-06-09,53.5106
2000-06-12,49.8145
2000-06-13,49.1292
2000-06-14,45.7298
2000-06-15,59.1287
2000-06-16,70.1244
2000-06-19,66.0474
2000-06-20,64.7727
2000-06-21,69.2749
2000-06-22,61.533
2000-06-23,55.4799
2000-06-26,59.0924
2000-06-27,33.5565
2000-06-28,31.1107
