date,Real Upper Band,Real Lower Band,Real Middle Band
2000-01-31,149.1534,136.3715,142.7625
2000-02-01,148.8523,136.2227,142.5375
2000-02-02,148.8273,136.3789,142.6031
2000-02-03,148.8741,136.6509,142.7625
2000-02-04,148.6702,137.3392,143.0047
2000-02-07,148.3637,137.3082,142.8359
2000-02-08,148.0892,137.389,142.7391
2000-02-09,147.9002,137.256,142.5781
2000-02-10,147.8381,137.1682,142.5031
2000-02-11,147.6398,136.7351,142.1875
2000-02-14,146.9173,136.7108,141.8141
2000-02-15,146.3449,136.8098,141.5773
2000-02-16,145.365,136.9896,141.1773
2000-02-17,144.8842,136.8236,140.8539
2000-02-18,144.7547,136.0406,140.3976
2000-02-22,145.0876,135.1702,140.1289
2000-02-23,144.9777,134.7426,139.8601
2000-02-24,145.2401,133.7802,139.5101
2000-02-25,145.4797,132.8484,139.1641
2000-02-28,145.4671,132.886,139.1766
2000-02-29,145.4028,132.7378,139.0703
2000-03-01,145.2239,132.6667,138.9453
2000-03-02,145.0231,132.6143,138.8187
2000-03-03,144.6904,132.7408,138.7156
2000-03-06,144.3026,132.8442,138.5734
2000-03-07,143.7948,132.8192,138.307
2000-03-08,142.7058,133.1644,137.9351
2000-03-09,142.6315,133.1981,137.9148
2000-03-10,142.3753,133.3106,137.843
2000-03-13,142.3673,133.3092,137.8383
2000-03-14,142.1858,133.2032,137.6945
2000-03-15,141.9629,133.2996,137.6312
2000-03-16,143.7457,132.2512,137.9984
2000-03-17,145.3772,131.4852,138.4312
2000-03-20,146.5348,131.4152,138.975
2000-03-21,148.2169,131.1549,139.6859
2000-03-22,149.8841,130.8409,140.3625
2000-03-23,151.7333,130.876,141.3047
2000-03-24,153.3612,131.2716,142.3164
2000-03-27,154.5234,131.6906,143.107
2000-03-28,155.3946,132.182,143.7883
2000-03-29,156.1912,132.6634,144.4273
2000-03-30,156.5125,133.3578,144.9351
2000-03-31,157.0679,133.7274,145.3976
2000-04-03,157.6063,134.339,145.9726
2000-04-04,157.6332,135.6199,146.6266
2000-04-05,157.3379,137.1465,147.2422
2000-04-06,157.4691,137.9762,147.7226
2000-04-07,157.504,139.0725,148.2883
2000-04-10,157.021,140.7805,148.9008
2000-04-11,155.451,143.7287,149.5898
2000-04-12,154.037,145.7896,149.9133
2000-04-13,154.3723,145.2449,149.8086
2000-04-14,156.7529,141.7705,149.2617
2000-04-17,157.2616,140.7181,148.9898
2000-04-18,157.2556,140.2522,148.7539
2000-04-19,157.2243,139.5866,148.4055
2000-04-20,156.7721,139.1545,147.9633
2000-04-24,156.1482,138.647,147.3976
2000-04-25,155.7187,138.6984,147.2086
2000-04-26,155.3072,138.6521,146.9797
2000-04-27,154.8226,138.6148,146.7187
2000-04-28,154.6197,138.4584,146.539
2000-05-01,154.2664,138.4804,146.3734
2000-05-02,153.636,138.3983,146.0172
2000-05-03,153.2518,137.8451,145.5484
2000-05-04,152.8569,137.5024,145.1797
2000-05-05,152.1377,137.5264,144.832
2000-05-08,151.0888,137.6768,144.3828
2000-05-09,150.038,137.7744,143.9062
2000-05-10,149.151,137.4334,143.2922
2000-05-11,148.7952,137.2892,143.0422
2000-05-12,148.697,137.2436,142.9703
2000-05-15,148.2598,138.6089,143.4344
2000-05-16,148.59,138.8724,143.7312
2000-05-17,148.6544,138.8768,143.7656
2000-05-18,148.6616,138.8946,143.7781
2000-05-19,148.6621,138.6254,143.6437
2000-05-22,148.7605,138.3082,143.5344
2000-05-23,148.3307,137.7224,143.0265
2000-05-24,147.901,137.5287,142.7148
2000-05-25,147.6753,136.9388,142.307
2000-05-26,147.4725,136.4322,141.9523
2000-05-30,146.7343,136.7141,141.7242
2000-05-31,146.5747,136.7425,141.6586
2000-06-01,147.0311,136.7423,141.8867
2000-06-02,147.95,136.4266,142.1883
2000-06-05,148.4983,136.2376,142.368
2000-06-06,148.9548,136.1826,142.5687
2000-06-07,149.5794,136.1752,142.8773
2000-06-08,149.8644,136.7684,143.3164
2000-06-09,150.2088,136.9552,143.582
2000-06-12,150.325,137.0453,143.6851
2000-06-13,150.6257,136.9758,143.8008
2000-06-14,150.799,136.9182,143.8586
2000-06-15,151.1805,136.8367,144.0086
2000-06-16,151.4213,136.9177,144.1695
2000-06-19,151.8778,137.1956,144.5367
2000-06-20,152.1125,137.7484,144.9304
2000-06-21,151.9613,138.887,145.4242
2000-06-22,151.7838,139.6021,145.6929
2000-06-23,150.9892,141.0498,146.0195
2000-06-26,149.7728,143.0896,146.4312
2000-06-27,149.4502,143.6779,146.564
2000-06-28,149.0764,144.3266,146.7015
2000-06-29,149.1959,144.0946,146.6453
2000-06-30,149.0716,143.9627,146.5172
2000-07-03,149.0877,143.9622,146.525
2000-07-05,149.1263,143.7393,146.4328
2000-07-06,149.0101,143.6821,146.3461
2000-07-07,149.1679,143.643,146.4054
2000-07-10,149.3003,143.6356,146.4679
2000-07-11,149.4563,143.8077,146.632
2000-07-12,149.7105,143.7067,146.7086
2000-07-13,150.0619,143.549,146.8054
2000-07-14,150.7144,143.2059,146.9601
2000-07-17,151.3202,143.0407,147.1804
2000-07-18,151.5027,142.9879,147.2453
2000-07-19,151.5629,142.9902,147.2765
2000-07-20,151.9382,142.8899,147.414
2000-07-21,151.9669,143.0674,147.5172
2000-07-24,151.8662,143.415,147.6406
2000-07-25,151.8742,143.5148,147.6945
2000-07-26,151.8339,143.627,147.7305
2000-07-27,151.8451,143.5971,147.7211
2000-07-28,152.1771,143.0557,147.6164
2000-07-31,152.3931,142.6116,147.5023
2000-08-01,152.4725,142.1915,147.332
2000-08-02,152.4743,142.1866,147.3305
2000-08-03,152.4765,142.1687,147.3226
2000-08-04,152.3936,142.0798,147.2367
2000-08-07,152.4158,142.0858,147.2508
2000-08-08,152.4661,142.0886,147.2773
2000-08-09,152.3132,142.0727,147.193
2000-08-10,152.0226,142.057,147.0398
2000-08-11,151.4479,142.2474,146.8476
2000-08-14,151.1055,142.4179,146.7617
2000-08-15,150.9982,142.4642,146.7312
2000-08-16,151.0068,142.4619,146.7344
2000-08-17,150.9088,142.5161,146.7125
2000-08-18,151.1885,142.4365,146.8125
2000-08-21,151.6574,142.3332,146.9953
2000-08-22,152.0153,142.2691,147.1422
2000-08-23,152.4817,142.2995,147.3906
2000-08-24,152.963,142.412,147.6875
2000-08-25,152.9694,143.3211,148.1453
2000-08-28,153.0367,144.1304,148.5836
2000-08-29,153.0826,144.8768,148.9797
2000-08-30,152.8766,145.6577,149.2672
2000-08-31,153.0349,146.1744,149.6047
2000-09-01,153.2248,146.597,149.9109
2000-09-05,153.3275,146.8099,150.0687
2000-09-06,153.319,146.9059,150.1125
2000-09-07,153.2563,147.3093,150.2828
2000-09-08,152.9374,147.9375,150.4375
2000-09-11,152.6697,148.424,150.5469
2000-09-12,152.7479,148.2677,150.5078
2000-09-13,152.7694,148.2197,150.4945
2000-09-14,152.6927,148.3979,150.5453
2000-09-15,153.2587,147.4132,150.3359
2000-09-18,153.9128,146.2559,150.0844
2000-09-19,154.0774,145.6382,149.8578
2000-09-20,154.3249,144.8547,149.5898
2000-09-21,154.7471,143.6169,149.182
2000-09-22,154.6025,143.1584,148.8804
2000-09-25,154.4817,142.5792,148.5304
2000-09-26,154.383,141.7419,148.0625
2000-09-27,154.0513,141.2096,147.6304
2000-09-28,153.7549,140.9716,147.3633
2000-09-29,153.0858,140.7688,146.9273
2000-10-02,152.2277,140.7614,146.4945
2000-10-03,151.5968,140.5141,146.0554
2000-10-04,151.149,140.3744,145.7617
2000-10-05,150.3187,140.5391,145.4289
2000-10-06,149.7991,140.1836,144.9914
2000-10-09,149.3013,139.7221,144.5117
2000-10-10,149.2535,138.6886,143.9711
2000-10-11,149.0633,137.6429,143.3531
2000-10-12,149.0768,135.9779,142.5273
2000-10-13,148.7914,135.4195,142.1055
2000-10-16,148.5682,134.9959,141.782
2000-10-17,148.3749,134.0673,141.2211
2000-10-18,148.2436,133.1345,140.6891
2000-10-19,148.0394,133.0012,140.5203
2000-10-20,147.4481,133.055,140.2516
2000-10-23,147.0277,133.1035,140.0656
2000-10-24,146.8054,133.0446,139.925
2000-10-25,146.4671,132.6985,139.5828
2000-10-26,145.6872,132.6472,139.1672
2000-10-27,145.1427,132.7573,138.95
2000-10-30,144.611,132.9577,138.7844
2000-10-31,144.6945,132.9195,138.807
2000-11-01,144.4527,133.0394,138.7461
2000-11-02,144.1265,133.2172,138.6719
2000-11-03,144.4109,133.1046,138.7578
2000-11-06,144.9928,132.9009,138.9469
2000-11-07,145.6126,132.8874,139.25
2000-11-08,145.7115,133.1916,139.4515
2000-11-09,145.3441,134.2496,139.7969
2000-11-10,145.387,134.1129,139.75
2000-11-13,145.5116,133.7258,139.6187
2000-11-14,145.3003,134.3746,139.8375
2000-11-15,144.9334,135.2728,140.1031
2000-11-16,144.9719,135.0406,140.0062
2000-11-17,145.0212,134.6647,139.8429
2000-11-20,145.1805,133.921,139.5508
2000-11-21,145.2562,133.4235,139.3398
2000-11-22,145.7162,132.5463,139.1312
2000-11-24,145.8074,132.2707,139.039
2000-11-27,145.7687,131.9844,138.8765
2000-11-28,145.7365,131.3322,138.5344
2000-11-29,145.2874,130.8297,138.0586
2000-11-30,144.898,130.2004,137.5492
2000-12-01,144.324,129.726,137.025
2000-12-04,143.515,129.5912,136.5531
2000-12-05,142.4082,130.0918,136.25
2000-12-06,140.9474,130.7291,135.8383
2000-12-07,140.1956,130.7903,135.4929
2000-12-08,139.4434,130.9363,135.1898
2000-12-11,139.7621,130.8176,135.2898
2000-12-12,140.0423,130.7842,135.4133
2000-12-13,139.5872,130.9409,135.264
2000-12-14,138.8631,131.1493,135.0062
2000-12-15,138.7606,130.6112,134.6859
2000-12-18,138.5468,130.4328,134.4898
2000-12-19,138.7548,129.7577,134.2562
2000-12-20,139.4545,128.1454,133.8
2000-12-21,139.8803,127.2181,133.5492
2000-12-22,139.7538,126.954,133.3539
2000-12-26,139.4618,126.8772,133.1695
2000-12-27,139.439,126.8625,133.1508
2000-12-28,139.4568,126.8728,133.1648
2000-12-29,139.4508,126.7695,133.1101
2001-01-02,139.5455,126.3329,132.9392
2001-01-03,139.6878,126.3562,133.022
2001-01-04,139.1268,126.4953,132.8111
2001-01-05,138.8698,126.1208,132.4953
2001-01-08,138.7489,125.896,132.3225
2001-01-09,138.5837,125.6444,132.114
2001-01-10,137.5282,126.0474,131.7878
2001-01-11,136.4892,126.5133,131.5012
2001-01-12,135.8167,126.7717,131.2942
2001-01-16,135.5664,126.8614,131.2139
2001-01-17,135.8029,126.878,131.3405
2001-01-18,136.1225,126.7665,131.4445
2001-01-19,136.4024,126.8866,131.6445
2001-01-22,136.3418,127.8122,132.077
2001-01-23,136.4672,128.5743,132.5208
2001-01-24,137.0111,128.5767,132.7939
2001-01-25,137.4114,128.5421,132.9767
2001-01-26,137.7197,128.4925,133.1061
2001-01-29,138.1049,128.3954,133.2502
2001-01-30,138.7209,128.4406,133.5808
2001-01-31,138.8401,129.1415,133.9908
2001-02-01,139.2626,129.009,134.1358
2001-02-02,139.3267,129.0749,134.2008
2001-02-05,139.1513,129.9103,134.5308
2001-02-06,138.9715,130.61,134.7908
2001-02-07,138.537,131.5345,135.0358
2001-02-08,138.4435,131.728,135.0858
2001-02-09,138.5074,131.6142,135.0608
2001-02-12,138.3769,131.8846,135.1308
2001-02-13,138.4301,131.7815,135.1058
2001-02-14,138.5461,131.5254,135.0358
2001-02-15,138.5513,131.3703,134.9608
2001-02-16,138.8717,130.6883,134.78
2001-02-20,139.4005,129.5095,134.455
2001-02-21,140.1464,127.7236,133.935
2001-02-22,140.4391,126.3709,133.405
2001-02-23,140.6684,125.0416,132.855
2001-02-26,140.4418,124.4382,132.44
2001-02-27,140.1046,123.7554,131.93
2001-02-28,139.6427,122.8373,131.24
2001-03-01,139.061,122.179,130.62
2001-03-02,138.1792,121.6308,129.905
2001-03-05,137.6503,121.1497,129.4
2001-03-06,136.7325,121.0975,128.915
2001-03-07,135.7565,121.2335,128.495
2001-03-08,134.8113,121.4187,128.115
2001-03-09,134.2161,121.0439,127.63
2001-03-12,134.4407,119.4493,126.945
2001-03-13,133.7385,118.8115,126.275
2001-03-14,133.3564,117.7336,125.545
2001-03-15,132.7408,116.9092,124.825
2001-03-16,131.9257,115.8943,123.91
2001-03-19,131.1729,115.3471,123.26
2001-03-20,131.0194,114.0806,122.55
2001-03-21,131.325,112.445,121.885
2001-03-22,131.5013,110.7987,121.15
2001-03-23,131.2046,110.0454,120.625
2001-03-26,130.3013,109.7787,120.04
2001-03-27,129.4916,109.7784,119.635
2001-03-28,129.0252,109.3448,119.185
2001-03-29,128.366,109.094,118.73
2001-03-30,127.7902,108.9798,118.385
2001-04-02,126.9639,108.7561,117.86
2001-04-03,125.9049,108.2451,117.075
2001-04-04,124.2262,108.3138,116.27
2001-04-05,121.889,109.451,115.67
2001-04-06,120.3447,109.9853,115.165
2001-04-09,119.9948,109.9852,114.99
2001-04-10,119.3531,110.2969,114.825
2001-04-11,119.1958,110.3542,114.775
2001-04-12,119.4416,110.2284,114.835
2001-04-16,119.727,110.203,114.965
2001-04-17,120.0813,110.0387,115.06
2001-04-18,121.8817,109.2183,115.55
2001-04-19,123.7557,108.6843,116.22
2001-04-20,124.8562,108.9238,116.89
2001-04-23,125.4825,109.0675,117.275
2001-04-24,125.9506,109.1694,117.56
2001-04-25,126.5465,109.0635,117.805
2001-04-26,127.2419,109.2381,118.24
2001-04-27,128.2367,109.2733,118.755
2001-04-30,128.9597,109.3703,119.165
2001-05-01,129.9063,109.7137,119.81
2001-05-02,130.1855,111.0745,120.63
2001-05-03,129.9767,112.7133,121.345
2001-05-04,130.4585,113.4515,121.955
2001-05-07,130.2986,114.9014,122.6
2001-05-08,130.0876,116.2724,123.18
2001-05-09,129.9369,117.3231,123.63
2001-05-10,129.6113,118.5787,124.095
2001-05-11,129.3979,119.4221,124.41
2001-05-14,128.6977,120.9023,124.8
2001-05-15,128.1318,122.1382,125.135
2001-05-16,128.7704,121.9996,125.385
2001-05-17,129.3322,121.7878,125.56
2001-05-18,129.9628,121.6772,125.82
2001-05-21,130.8286,121.7614,126.295
2001-05-22,131.3269,122.2531,126.79
2001-05-23,131.4417,122.7483,127.095
2001-05-24,131.5728,123.2072,127.39
2001-05-25,131.6327,123.3773,127.505
2001-05-29,131.5729,123.6571,127.615
2001-05-30,131.6056,123.4444,127.525
2001-05-31,131.6087,123.3613,127.485
2001-06-01,131.5677,123.5523,127.56
2001-06-04,131.5677,123.5523,127.56
2001-06-05,131.6814,123.6986,127.69
2001-06-06,131.6976,123.8324,127.765
2001-06-07,131.7094,124.0706,127.89
2001-06-08,131.6845,124.1955,127.94
2001-06-11,131.6167,124.3533,127.985
2001-06-12,131.5765,124.4435,128.01
2001-06-13,131.686,124.214,127.95
2001-06-14,132.1087,123.0913,127.6
2001-06-15,132.3125,122.1575,127.235
2001-06-18,132.3742,121.2558,126.815
2001-06-19,131.8139,120.8261,126.32
2001-06-20,131.067,120.663,125.865
2001-06-21,130.6151,120.5649,125.59
2001-06-22,130.0544,120.4556,125.255
2001-06-25,129.7861,120.0839,124.935
2001-06-26,129.6115,119.7085,124.66
2001-06-27,129.5972,119.3428,124.47
2001-06-28,129.4478,119.1122,124.28
2001-06-29,129.1673,118.9827,124.075
2001-07-02,128.7883,119.0417,123.915
2001-07-03,128.0116,119.3484,123.68
2001-07-05,127.3743,119.3857,123.38
2001-07-06,126.6858,119.1642,122.925
2001-07-09,126.077,119.043,122.56
2001-07-10,125.7595,118.5805,122.17
2001-07-11,125.3138,118.2762,121.795
2001-07-12,124.858,118.372,121.615
2001-07-13,124.8739,118.3761,121.625
2001-07-16,124.8356,118.2944,121.565
2001-07-17,124.8598,118.3202,121.59
2001-07-18,124.8281,118.2719,121.55
2001-07-19,124.8001,118.2699,121.535
2001-07-20,124.5057,118.3143,121.41
2001-07-23,124.4008,118.0292,121.215
2001-07-24,124.5246,117.5154,121.02
2001-07-25,124.4853,117.3047,120.895
2001-07-26,124.4252,117.2548,120.84
2001-07-27,124.3005,117.2395,120.77
2001-07-30,124.1156,117.2544,120.685
2001-07-31,123.6267,117.4733,120.55
2001-08-01,123.1677,117.7323,120.45
2001-08-02,123.3216,117.6684,120.495
2001-08-03,123.4487,117.8213,120.635
2001-08-06,123.4509,117.8791,120.665
2001-08-07,123.3559,118.2241,120.79
2001-08-08,123.3425,118.2475,120.795
2001-08-09,123.3488,118.0112,120.68
2001-08-10,123.1726,117.8974,120.535
2001-08-13,123.1552,117.7748,120.465
2001-08-14,123.0026,117.6774,120.34
2001-08-15,123.0,117.4,120.2
2001-08-16,122.7599,117.3001,120.03
2001-08-17,122.8073,116.8027,119.805
2001-08-20,122.8531,116.6399,119.7465
2001-08-21,123.106,116.187,119.6465
2001-08-22,123.1836,115.8994,119.5415
2001-08-23,123.186,115.517,119.3515
2001-08-24,123.0399,115.4831,119.2615
2001-08-27,122.8539,115.4091,119.1315
2001-08-28,122.6169,115.1661,118.8915
2001-08-29,122.2608,114.8622,118.5615
2001-08-30,121.9817,114.2113,118.0965
2001-08-31,121.5384,113.8846,117.7115
2001-09-04,121.4342,113.2988,117.3665
2001-09-05,121.0579,112.9651,117.0115
2001-09-06,121.4279,111.8251,116.6265
2001-09-07,121.9083,110.3247,116.1165
2001-09-10,121.8138,109.4992,115.6565
2001-09-17,122.5747,107.2383,114.9065
2001-09-18,122.8635,105.4295,114.1465
2001-09-19,123.3156,103.3574,113.3365
2001-09-20,123.8531,100.8209,112.337
2001-09-21,124.4059,98.3161,111.361
2001-09-24,123.9803,97.0287,110.5045
2001-09-25,123.5622,96.0418,109.802
2001-09-26,122.8302,95.2138,109.022
2001-09-27,121.9515,94.6625,108.307
2001-09-28,120.392,94.762,107.577
2001-10-01,118.7689,94.9851,106.877
2001-10-02,117.3554,95.2986,106.327
2001-10-03,116.1382,95.7058,105.922
2001-10-04,115.3003,95.9537,105.627
2001-10-05,114.1583,96.3957,105.277
2001-10-08,113.0255,96.8385,104.932
2001-10-09,111.6014,97.4926,104.547
2001-10-10,111.1077,97.7363,104.422
2001-10-11,111.3605,97.6135,104.487
2001-10-12,111.2368,97.6772,104.457
2001-10-15,111.8064,97.6076,104.707
2001-10-16,112.4574,97.5466,105.002
2001-10-17,112.6972,97.8768,105.287
2001-10-18,112.5331,98.9099,105.7215
2001-10-19,111.8565,100.5985,106.2275
2001-10-22,111.8581,101.4769,106.6675
2001-10-23,111.7781,102.2719,107.025
2001-10-24,111.415,103.355,107.385
2001-10-25,111.3282,104.2718,107.8
2001-10-26,111.4173,104.7727,108.095
2001-10-29,111.1056,105.4044,108.255
2001-10-30,111.034,105.536,108.285
2001-10-31,111.1393,105.2707,108.205
2001-11-01,111.173,105.347,108.26
2001-11-02,111.269,105.461,108.365
2001-11-05,111.5163,105.6337,108.575
2001-11-06,112.0322,105.7578,108.895
2001-11-07,112.549,105.641,109.095
2001-11-08,112.9874,105.4626,109.225
2001-11-09,113.4412,105.3288,109.385
2001-11-12,113.7326,105.3074,109.52
2001-11-13,114.5092,104.9908,109.75
2001-11-14,115.2205,104.9795,110.1
2001-11-15,115.8423,105.1077,110.475
2001-11-16,116.2571,105.3929,110.825
2001-11-19,116.946,105.334,111.14
2001-11-20,117.3542,105.5158,111.435
2001-11-21,117.5747,105.8353,111.705
2001-11-23,118.0544,105.8656,111.96
2001-11-26,118.5155,105.9645,112.24
