date,MACD_Hist,MACD,MACD_Signal
2000-02-18,-0.2424,-1.6604,-1.418
2000-02-22,-0.3757,-1.8876,-1.5119
2000-02-23,-0.324,-1.9169,-1.5929
2000-02-24,-0.4356,-2.1374,-1.7018
2000-02-25,-0.4981,-2.3244,-1.8263
2000-02-28,-0.316,-2.2214,-1.9053
2000-02-29,-0.0842,-2.0106,-1.9264
2000-03-01,0.1469,-1.7428,-1.8897
2000-03-02,0.3072,-1.5056,-1.8128
2000-03-03,0.5737,-1.0957,-1.6694
2000-03-06,0.6381,-0.8718,-1.5099
2000-03-07,0.4863,-0.9021,-1.3883
2000-03-08,0.3673,-0.9292,-1.2965
2000-03-09,0.5406,-0.6208,-1.1614
2000-03-10,0.5836,-0.4319,-1.0155
2000-03-13,0.4915,-0.4011,-0.8926
2000-03-14,0.2905,-0.5295,-0.82
2000-03-15,0.3602,-0.3698,-0.7299
2000-03-16,0.8084,0.2806,-0.5278
2000-03-17,1.0897,0.8343,-0.2554
2000-03-20,1.1633,1.1988,0.0354
2000-03-21,1.3397,1.71,0.3703
2000-03-22,1.4344,2.1633,0.7289
2000-03-23,1.5755,2.6983,1.1228
2000-03-24,1.6289,3.1589,1.53
2000-03-27,1.4593,3.3542,1.8949
2000-03-28,1.2035,3.3992,2.1957
2000-03-29,0.9699,3.4081,2.4382
2000-03-30,0.589,3.1744,2.5854
2000-03-31,0.4034,3.0897,2.6863
2000-04-03,0.2973,3.058,2.7606
2000-04-04,0.1183,2.9085,2.7902
2000-04-05,-0.0854,2.6834,2.7688
2000-04-06,-0.1511,2.58,2.7311
2000-04-07,-0.1484,2.5456,2.694
2000-04-10,-0.2014,2.4422,2.6436
2000-04-11,-0.2761,2.2985,2.5746
2000-04-12,-0.5951,1.8307,2.4258
2000-04-13,-0.9156,1.2813,2.1969
2000-04-14,-1.6151,0.1781,1.7932
2000-04-17,-1.682,-0.3093,1.3727
2000-04-18,-1.411,-0.3911,1.0199
2000-04-19,-1.2622,-0.5578,0.7044
2000-04-20,-1.0653,-0.6273,0.438
2000-04-24,-0.9898,-0.7992,0.1906
2000-04-25,-0.5154,-0.4536,0.0617
2000-04-26,-0.2983,-0.3111,-0.0128
2000-04-27,-0.1773,-0.2345,-0.0571
2000-04-28,-0.1496,-0.2441,-0.0945
2000-05-01,0.0022,-0.0918,-0.094
2000-05-02,-0.0894,-0.2058,-0.1163
2000-05-03,-0.3565,-0.5619,-0.2055
2000-05-04,-0.4355,-0.7498,-0.3143
2000-05-05,-0.3496,-0.7514,-0.4017
2000-05-08,-0.3426,-0.83,-0.4874
2000-05-09,-0.3886,-0.9732,-0.5846
2000-05-10,-0.5952,-1.3285,-0.7333
2000-05-11,-0.4853,-1.34,-0.8547
2000-05-12,-0.2855,-1.2116,-0.9261
2000-05-15,0.0207,-0.9002,-0.9209
2000-05-16,0.3096,-0.5338,-0.8435
2000-05-17,0.3845,-0.3629,-0.7474
2000-05-18,0.3044,-0.3669,-0.6713
2000-05-19,0.1008,-0.5453,-0.6461
2000-05-22,-0.0941,-0.7636,-0.6696
2000-05-23,-0.3368,-1.0905,-0.7538
2000-05-24,-0.3208,-1.1547,-0.834
2000-05-25,-0.4399,-1.3838,-0.9439
2000-05-26,-0.4729,-1.5351,-1.0622
2000-05-30,-0.172,-1.2771,-1.1052
2000-05-31,0.0557,-1.0355,-1.0912
2000-06-01,0.365,-0.635,-1.0
2000-06-02,0.7103,-0.1121,-0.8224
2000-06-05,0.8512,0.2416,-0.6096
2000-06-06,0.8585,0.4636,-0.395
2000-06-07,0.8866,0.7132,-0.1733
2000-06-08,0.8223,0.8546,0.0323
2000-06-09,0.7187,0.9307,0.2119
2000-06-12,0.5045,0.8426,0.3381
2000-06-13,0.5142,0.9808,0.4666
2000-06-14,0.505,1.0979,0.5929
2000-06-15,0.4873,1.202,0.7147
2000-06-16,0.3445,1.1453,0.8008
2000-06-19,0.3492,1.2373,0.8881
2000-06-20,0.2919,1.253,0.9611
2000-06-21,0.2279,1.246,1.0181
2000-06-22,0.023,1.0468,1.0238
2000-06-23,-0.1958,0.7791,0.9749
2000-06-26,-0.2128,0.7088,0.9217
2000-06-27,-0.2896,0.5597,0.8493
2000-06-28,-0.3043,0.4689,0.7732
2000-06-29,-0.3924,0.2827,0.6751
2000-06-30,-0.3634,0.2208,0.5842
2000-07-03,-0.2039,0.3294,0.5333
2000-07-05,-0.2676,0.1988,0.4664
2000-07-06,-0.2259,0.184,0.4099
2000-07-07,-0.0421,0.3572,0.3994
2000-07-10,0.0557,0.469,0.4133
2000-07-11,0.1302,0.5761,0.4458
2000-07-12,0.2279,0.7307,0.5028
2000-07-13,0.3145,0.8959,0.5814
2000-07-14,0.4407,1.1323,0.6916
2000-07-17,0.4744,1.2846,0.8102
2000-07-18,0.3845,1.2909,0.9063
2000-07-19,0.223,1.1851,0.9621
2000-07-20,0.2329,1.2532,1.0203
2000-07-21,0.0301,1.058,1.0278
2000-07-24,-0.1617,0.8257,0.9874
2000-07-25,-0.2526,0.6716,0.9242
2000-07-26,-0.3965,0.4286,0.8251
2000-07-27,-0.5053,0.1935,0.6988
2000-07-28,-0.7628,-0.2547,0.5081
2000-07-31,-0.831,-0.5307,0.3003
2000-08-01,-0.7771,-0.6711,0.1061
2000-08-02,-0.6577,-0.716,-0.0584
2000-08-03,-0.484,-0.6634,-0.1794
2000-08-04,-0.2983,-0.5522,-0.2539
2000-08-07,-0.0522,-0.3192,-0.267
2000-08-08,0.1431,-0.0881,-0.2312
2000-08-09,0.1803,-0.0058,-0.1861
2000-08-10,0.15,0.0014,-0.1486
2000-08-11,0.1684,0.0619,-0.1065
2000-08-14,0.2917,0.2581,-0.0336
2000-08-15,0.3461,0.399,0.0529
2000-08-16,0.3276,0.4624,0.1348
2000-08-17,0.3973,0.6315,0.2341
2000-08-18,0.3862,0.7168,0.3307
2000-08-21,0.4078,0.8404,0.4326
2000-08-22,0.38,0.9076,0.5276
2000-08-23,0.3758,0.9974,0.6216
2000-08-24,0.3777,1.0937,0.716
2000-08-25,0.3486,1.1517,0.8031
2000-08-28,0.3376,1.2252,0.8875
2000-08-29,0.307,1.2713,0.9643
2000-08-30,0.1701,1.177,1.0068
2000-08-31,0.1939,1.2492,1.0553
2000-09-01,0.199,1.304,1.105
2000-09-05,0.1039,1.2349,1.131
2000-09-06,-0.0811,1.0296,1.1107
2000-09-07,-0.1212,0.9592,1.0804
2000-09-08,-0.2157,0.8108,1.0265
2000-09-11,-0.2869,0.6679,0.9548
2000-09-12,-0.395,0.4611,0.856
2000-09-13,-0.4249,0.3249,0.7498
2000-09-14,-0.3803,0.2744,0.6547
2000-09-15,-0.5708,-0.0588,0.512
2000-09-18,-0.7507,-0.4263,0.3244
2000-09-19,-0.7432,-0.6047,0.1386
2000-09-20,-0.7697,-0.8236,-0.0539
2000-09-21,-0.886,-1.1614,-0.2754
2000-09-22,-0.7445,-1.206,-0.4615
2000-09-25,-0.6783,-1.3094,-0.6311
2000-09-26,-0.7132,-1.5226,-0.8094
2000-09-27,-0.6425,-1.6124,-0.97
2000-09-28,-0.4379,-1.5174,-1.0795
2000-09-29,-0.3647,-1.5353,-1.1706
2000-10-02,-0.275,-1.5144,-1.2394
2000-10-03,-0.2788,-1.5879,-1.3091
2000-10-04,-0.1789,-1.5327,-1.3538
2000-10-05,-0.0627,-1.4321,-1.3695
2000-10-06,-0.1734,-1.5863,-1.4129
2000-10-09,-0.2887,-1.7737,-1.485
2000-10-10,-0.4799,-2.0849,-1.605
2000-10-11,-0.6337,-2.3971,-1.7634
2000-10-12,-0.8982,-2.8861,-1.988
2000-10-13,-0.7156,-2.8824,-2.1669
2000-10-16,-0.5039,-2.7968,-2.2928
2000-10-17,-0.5434,-2.972,-2.4287
2000-10-18,-0.5493,-3.1154,-2.566
2000-10-19,-0.1778,-2.7883,-2.6105
2000-10-20,0.126,-2.4529,-2.579
2000-10-23,0.3733,-2.1124,-2.4856
2000-10-24,0.4715,-1.8962,-2.3678
2000-10-25,0.3206,-1.9671,-2.2876
2000-10-26,0.2539,-1.9702,-2.2241
2000-10-27,0.3847,-1.7433,-2.128
2000-10-30,0.5456,-1.446,-1.9916
2000-10-31,0.7906,-1.0033,-1.7939
2000-11-01,0.8881,-0.6837,-1.5719
2000-11-02,0.932,-0.4069,-1.3389
2000-11-03,0.9279,-0.1791,-1.1069
2000-11-06,0.9505,0.0812,-0.8693
2000-11-07,0.9208,0.2817,-0.6391
2000-11-08,0.6563,0.1813,-0.475
2000-11-09,0.4266,0.0582,-0.3684
2000-11-10,0.0462,-0.3106,-0.3568
2000-11-13,-0.2592,-0.6808,-0.4216
2000-11-14,-0.2058,-0.6789,-0.473
2000-11-15,-0.1293,-0.6347,-0.5054
2000-11-16,-0.2096,-0.7674,-0.5578
2000-11-17,-0.2907,-0.9212,-0.6305
2000-11-20,-0.4452,-1.187,-0.7418
2000-11-21,-0.4681,-1.3269,-0.8588
2000-11-22,-0.6565,-1.6794,-1.0229
2000-11-24,-0.5583,-1.7208,-1.1625
2000-11-27,-0.3811,-1.6389,-1.2578
2000-11-28,-0.3882,-1.743,-1.3548
2000-11-29,-0.3759,-1.8246,-1.4488
2000-11-30,-0.409,-1.96,-1.551
2000-12-01,-0.3982,-2.0488,-1.6506
2000-12-04,-0.2837,-2.0052,-1.7215
2000-12-05,0.0978,-1.5992,-1.6971
2000-12-06,0.2067,-1.4387,-1.6454
2000-12-07,0.1604,-1.4448,-1.6053
2000-12-08,0.1576,-1.4082,-1.5659
2000-12-11,0.459,-0.9921,-1.4511
2000-12-12,0.5992,-0.7021,-1.3013
2000-12-13,0.5469,-0.6177,-1.1646
2000-12-14,0.3853,-0.6829,-1.0683
2000-12-15,0.0542,-1.0005,-1.0547
2000-12-18,-0.0348,-1.0982,-1.0634
2000-12-19,-0.2516,-1.3779,-1.1263
2000-12-20,-0.6044,-1.8818,-1.2774
2000-12-21,-0.7263,-2.1853,-1.459
2000-12-22,-0.508,-2.094,-1.586
2000-12-26,-0.2404,-1.8865,-1.6461
2000-12-27,0.0168,-1.6251,-1.6419
2000-12-28,0.218,-1.3694,-1.5874
2000-12-29,0.1856,-1.3554,-1.541
2001-01-02,0.0173,-1.5194,-1.5367
2001-01-03,0.3205,-1.136,-1.4565
2001-01-04,0.4114,-0.9423,-1.3537
2001-01-05,0.1847,-1.1229,-1.3075
2001-01-08,0.1086,-1.1718,-1.2804
2001-01-09,0.0414,-1.2286,-1.27
2001-01-10,0.1555,-1.0757,-1.2312
2001-01-11,0.2428,-0.9277,-1.1705
2001-01-12,0.2763,-0.825,-1.1014
2001-01-16,0.344,-0.6714,-1.0154
2001-01-17,0.4223,-0.4876,-0.9098
2001-01-18,0.5404,-0.2343,-0.7747
2001-01-19,0.5432,-0.0957,-0.6389
2001-01-22,0.5787,0.0845,-0.4942
2001-01-23,0.6453,0.3124,-0.3329
2001-01-24,0.6818,0.5194,-0.1624
2001-01-25,0.6449,0.6437,-0.0012
2001-01-26,0.5816,0.7258,0.1442
2001-01-29,0.5548,0.8377,0.2829
2001-01-30,0.5829,1.0115,0.4286
2001-01-31,0.515,1.0724,0.5574
2001-02-01,0.4978,1.1796,0.6818
2001-02-02,0.2569,1.0029,0.746
2001-02-05,0.1494,0.9328,0.7834
2001-02-06,0.0416,0.8353,0.7938
2001-02-07,-0.0801,0.6936,0.7737
2001-02-08,-0.2614,0.447,0.7084
2001-02-09,-0.4507,0.1451,0.5957
2001-02-12,-0.449,0.0344,0.4835
2001-02-13,-0.4991,-0.1404,0.3587
2001-02-14,-0.5203,-0.2917,0.2286
2001-02-15,-0.4318,-0.3112,0.1207
2001-02-16,-0.5399,-0.5542,-0.0143
2001-02-20,-0.7069,-0.8979,-0.191
2001-02-21,-0.9514,-1.3803,-0.4289
2001-02-22,-1.0381,-1.7265,-0.6884
2001-02-23,-1.0828,-2.042,-0.9591
2001-02-26,-0.8794,-2.0584,-1.179
2001-02-27,-0.7717,-2.1436,-1.3719
2001-02-28,-0.8043,-2.3773,-1.573
2001-03-01,-0.73,-2.4855,-1.7555
2001-03-02,-0.693,-2.6217,-1.9287
2001-03-05,-0.5456,-2.6108,-2.0651
2001-03-06,-0.3165,-2.4608,-2.1443
2001-03-07,-0.0793,-2.2434,-2.1641
2001-03-08,0.0996,-2.0396,-2.1392
2001-03-09,-0.0101,-2.1518,-2.1417
2001-03-12,-0.397,-2.638,-2.241
2001-03-13,-0.4771,-2.8373,-2.3602
2001-03-14,-0.6275,-3.1446,-2.5171
2001-03-15,-0.6659,-3.3495,-2.6836
2001-03-16,-0.8029,-3.6872,-2.8843
2001-03-19,-0.6673,-3.7184,-3.0511
2001-03-20,-0.7236,-3.9557,-3.232
2001-03-21,-0.8128,-4.2481,-3.4353
2001-03-22,-0.8714,-4.5245,-3.6531
2001-03-23,-0.6121,-4.4183,-3.8061
2001-03-26,-0.2935,-4.173,-3.8795
2001-03-27,0.1101,-3.7419,-3.852
