date,SMA
2000-01-31,142.7625
2000-02-01,142.5375
2000-02-02,142.6031
2000-02-03,142.7625
2000-02-04,143.0047
2000-02-07,142.8359
2000-02-08,142.7391
2000-02-09,142.5781
2000-02-10,142.5031
2000-02-11,142.1875
2000-02-14,141.8141
2000-02-15,141.5773
2000-02-16,141.1773
2000-02-17,140.8539
2000-02-18,140.3976
2000-02-22,140.1289
2000-02-23,139.8601
2000-02-24,139.5101
2000-02-25,139.1641
2000-02-28,139.1766
2000-02-29,139.0703
2000-03-01,138.9453
2000-03-02,138.8187
2000-03-03,138.7156
2000-03-06,138.5734
2000-03-07,138.307
2000-03-08,137.9351
2000-03-09,137.9148
2000-03-10,137.843
2000-03-13,137.8383
2000-03-14,137.6945
2000-03-15,137.6312
2000-03-16,137.9984
2000-03-17,138.4312
2000-03-20,138.975
2000-03-21,139.6859
2000-03-22,140.3625
2000-03-23,141.3047
2000-03-24,142.3164
2000-03-27,143.107
2000-03-28,143.7883
2000-03-29,144.4273
2000-03-30,144.9351
2000-03-31,145.3976
2000-04-03,145.9726
2000-04-04,146.6266
2000-04-05,147.2422
2000-04-06,147.7226
2000-04-07,148.2883
2000-04-10,148.9008
2000-04-11,149.5898
2000-04-12,149.9133
2000-04-13,149.8086
2000-04-14,149.2617
2000-04-17,148.9898
2000-04-18,148.7539
2000-04-19,148.4055
2000-04-20,147.9633
2000-04-24,147.3976
2000-04-25,147.2086
2000-04-26,146.9797
2000-04-27,146.7187
2000-04-28,146.539
2000-05-01,146.3734
2000-05-02,146.0172
2000-05-03,145.5484
2000-05-04,145.1797
2000-05-05,144.832
2000-05-08,144.3828
2000-05-09,143.9062
2000-05-10,143.2922
2000-05-11,143.0422
2000-05-12,142.9703
2000-05-15,143.4344
2000-05-16,143.7312
2000-05-17,143.7656
2000-05-18,143.7781
2000-05-19,143.6437
2000-05-22,143.5344
2000-05-23,143.0265
2000-05-24,142.7148
2000-05-25,142.307
2000-05-26,141.9523
2000-05-30,141.7242
2000-05-31,141.6586
2000-06-01,141.8867
2000-06-02,142.1883
2000-06-05,142.368
2000-06-06,142.5687
2000-06-07,142.8773
2000-06-08,143.3164
2000-06-09,143.582
2000-06-12,143.6851
2000-06-13,143.8008
2000-06-14,143.8586
2000-06-15,144.0086
2000-06-16,144.1695
2000-06-19,144.5367
2000-06-20,144.9304
2000-06-21,145.4242
2000-06-22,145.6929
2000-06-23,146.0195
2000-06-26,146.4312
2000-06-27,146.564
2000-06-28,146.7015
2000-06-29,146.6453
2000-06-30,146.5172
2000-07-03,146.525
2000-07-05,146.4328
2000-07-06,146.3461
2000-07-07,146.4054
2000-07-10,146.4679
2000-07-11,146.632
2000-07-12,146.7086
2000-07-13,146.8054
2000-07-14,146.9601
2000-07-17,147.1804
2000-07-18,147.2453
2000-07-19,147.2765
2000-07-20,147.414
2000-07-21,147.5172
2000-07-24,147.6406
2000-07-25,147.6945
2000-07-26,147.7305
2000-07-27,147.7211
2000-07-28,147.6164
2000-07-31,147.5023
2000-08-01,147.332
2000-08-02,147.3305
2000-08-03,147.3226
2000-08-04,147.2367
2000-08-07,147.2508
2000-08-08,147.2773
2000-08-09,147.193
2000-08-10,147.0398
2000-08-11,146.8476
2000-08-14,146.7617
2000-08-15,146.7312
2000-08-16,146.7344
2000-08-17,146.7125
2000-08-18,146.8125
2000-08-21,146.9953
2000-08-22,147.1422
2000-08-23,147.3906
2000-08-24,147.6875
2000-08-25,148.1453
2000-08-28,148.5836
2000-08-29,148.9797
2000-08-30,149.2672
2000-08-31,149.6047
2000-09-01,149.9109
2000-09-05,150.0687
2000-09-06,150.1125
2000-09-07,150.2828
2000-09-08,150.4375
2000-09-11,150.5469
2000-09-12,150.5078
2000-09-13,150.4945
2000-09-14,150.5453
2000-09-15,150.3359
2000-09-18,150.0844
2000-09-19,149.8578
2000-09-20,149.5898
2000-09-21,149.182
2000-09-22,148.8804
2000-09-25,148.5304
2000-09-26,148.0625
2000-09-27,147.6304
2000-09-28,147.3633
2000-09-29,146.9273
2000-10-02,146.4945
2000-10-03,146.0554
2000-10-04,145.7617
2000-10-05,145.4289
2000-10-06,144.9914
2000-10-09,144.5117
2000-10-10,143.9711
2000-10-11,143.3531
2000-10-12,142.5273
2000-10-13,142.1055
2000-10-16,141.782
2000-10-17,141.2211
2000-10-18,140.6891
2000-10-19,140.5203
2000-10-20,140.2516
2000-10-23,140.0656
2000-10-24,139.925
2000-10-25,139.5828
2000-10-26,139.1672
2000-10-27,138.95
2000-10-30,138.7844
2000-10-31,138.807
2000-11-01,138.7461
2000-11-02,138.6719
2000-11-03,138.7578
2000-11-06,138.9469
2000-11-07,139.25
2000-11-08,139.4515
2000-11-09,139.7969
2000-11-10,139.75
2000-11-13,139.6187
2000-11-14,139.8375
2000-11-15,140.1031
2000-11-16,140.0062
2000-11-17,139.8429
2000-11-20,139.5508
2000-11-21,139.3398
2000-11-22,139.1312
2000-11-24,139.039
2000-11-27,138.8765
2000-11-28,138.5344
2000-11-29,138.0586
2000-11-30,137.5492
2000-12-01,137.025
2000-12-04,136.5531
2000-12-05,136.25
2000-12-06,135.8383
2000-12-07,135.4929
2000-12-08,135.1898
2000-12-11,135.2898
2000-12-12,135.4133
2000-12-13,135.264
2000-12-14,135.0062
2000-12-15,134.6859
2000-12-18,134.4898
2000-12-19,134.2562
2000-12-20,133.8
2000-12-21,133.5492
2000-12-22,133.3539
2000-12-26,133.1695
2000-12-27,133.1508
2000-12-28,133.1648
2000-12-29,133.1101
2001-01-02,132.9392
2001-01-03,133.022
2001-01-04,132.8111
2001-01-05,132.4953
2001-01-08,132.3225
2001-01-09,132.114
2001-01-10,131.7878
2001-01-11,131.5012
2001-01-12,131.2942
2001-01-16,131.2139
2001-01-17,131.3405
2001-01-18,131.4445
2001-01-19,131.6445
