date,ULTOSC
2000-02-11,48.0532
2000-02-14,43.5339
2000-02-15,52.3388
2000-02-16,48.0332
2000-02-17,42.0234
2000-02-18,39.7901
2000-02-22,40.2094
2000-02-23,46.2931
2000-02-24,39.6714
2000-02-25,30.4595
2000-02-28,38.5251
2000-02-29,42.9319
2000-03-01,48.802
2000-03-02,50.0621
2000-03-03,53.4653
2000-03-06,55.7618
2000-03-07,56.5136
2000-03-08,55.0476
2000-03-09,61.2018
2000-03-10,58.5503
2000-03-13,58.4488
2000-03-14,51.2892
2000-03-15,56.7564
2000-03-16,66.4028
2000-03-17,65.4995
2000-03-20,61.0905
2000-03-21,66.7653
2000-03-22,67.4934
2000-03-23,73.5704
2000-03-24,70.049
2000-03-27,63.2913
2000-03-28,60.4029
2000-03-29,59.4741
2000-03-30,52.0578
2000-03-31,51.1712
2000-04-03,52.5554
2000-04-04,59.8273
2000-04-05,60.1201
2000-04-06,61.4417
2000-04-07,61.6282
2000-04-10,60.3661
2000-04-11,61.3686
2000-04-12,51.2635
2000-04-13,38.8483
2000-04-14,35.1115
2000-04-17,43.3775
2000-04-18,48.3296
2000-04-19,48.6397
2000-04-20,49.2729
2000-04-24,53.0256
2000-04-25,60.8386
2000-04-26,66.8638
2000-04-27,63.3394
2000-04-28,54.2886
2000-05-01,56.8007
2000-05-02,50.4937
2000-05-03,47.8958
2000-05-04,41.632
2000-05-05,49.382
2000-05-08,44.0929
2000-05-09,44.6956
2000-05-10,39.5162
2000-05-11,48.5781
2000-05-12,53.5324
2000-05-15,55.4214
2000-05-16,53.8679
2000-05-17,52.2691
2000-05-18,49.3515
2000-05-19,50.4932
2000-05-22,50.3239
2000-05-23,46.2161
2000-05-24,48.1843
2000-05-25,41.6189
2000-05-26,40.7676
2000-05-30,50.5555
2000-05-31,52.6015
2000-06-01,53.5174
2000-06-02,58.0168
2000-06-05,51.5542
2000-06-06,56.2021
2000-06-07,59.9465
2000-06-08,55.753
2000-06-09,56.0563
2000-06-12,46.5557
2000-06-13,51.8256
2000-06-14,51.3337
2000-06-15,56.016
2000-06-16,52.1955
2000-06-19,54.1605
2000-06-20,55.429
2000-06-21,59.103
2000-06-22,49.299
2000-06-23,47.1571
2000-06-26,50.5431
2000-06-27,48.5581
2000-06-28,42.9847
2000-06-29,41.1976
2000-06-30,44.0228
2000-07-03,51.1229
2000-07-05,47.2552
2000-07-06,45.8891
2000-07-07,53.1381
2000-07-10,52.0826
2000-07-11,53.9034
2000-07-12,51.3347
2000-07-13,48.4969
2000-07-14,58.5976
2000-07-17,54.467
2000-07-18,48.7406
2000-07-19,47.9378
2000-07-20,54.8903
2000-07-21,45.767
2000-07-24,39.8484
2000-07-25,37.2694
2000-07-26,35.0671
2000-07-27,34.5158
2000-07-28,31.0851
2000-07-31,27.0388
2000-08-01,31.2024
2000-08-02,34.7687
2000-08-03,42.0107
2000-08-04,45.5799
2000-08-07,50.5116
2000-08-08,61.5133
2000-08-09,56.4723
2000-08-10,55.7456
2000-08-11,59.0704
2000-08-14,59.2908
2000-08-15,58.271
2000-08-16,53.6501
2000-08-17,57.5543
2000-08-18,61.1016
2000-08-21,65.4085
2000-08-22,60.6143
2000-08-23,58.0101
2000-08-24,60.1435
2000-08-25,61.9169
2000-08-28,54.2989
2000-08-29,59.2251
2000-08-30,51.4663
2000-08-31,57.9297
2000-09-01,51.5829
2000-09-05,47.5377
2000-09-06,41.3693
2000-09-07,45.3972
2000-09-08,42.3507
2000-09-11,43.4395
2000-09-12,35.9246
2000-09-13,38.4779
2000-09-14,43.2266
2000-09-15,38.7086
2000-09-18,33.1057
2000-09-19,36.499
2000-09-20,40.3147
2000-09-21,36.4381
2000-09-22,41.9704
2000-09-25,38.0851
2000-09-26,38.9419
2000-09-27,41.5397
2000-09-28,42.5119
2000-09-29,36.773
2000-10-02,40.9185
2000-10-03,29.8506
2000-10-04,34.4904
2000-10-05,40.026
2000-10-06,37.1957
2000-10-09,33.5168
2000-10-10,30.7692
2000-10-11,31.9926
2000-10-12,28.8005
2000-10-13,36.522
2000-10-16,39.5548
2000-10-17,36.5516
2000-10-18,41.5655
2000-10-19,52.6572
2000-10-20,54.0484
2000-10-23,61.4489
2000-10-24,53.8721
2000-10-25,47.7487
2000-10-26,54.7796
2000-10-27,57.2584
2000-10-30,55.3554
2000-10-31,58.9652
2000-11-01,59.4948
2000-11-02,59.5978
2000-11-03,64.0201
2000-11-06,64.9271
2000-11-07,62.4431
2000-11-08,48.6429
